Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
1921,26,EVN,APFA,5,3,2,0,.600,-12.3,0.5,-12.8,,,,,6,
1922,27,EVN,NFL,3,0,3,0,.000,-25.3,-11.1,-14.2,,,,,15,
