Team Abbreviation,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
atl,377,5845.0,957.0,6.1,30.0,12,298.0,331,515,3902,29,18,7.1,184.0,405,1943,13,4.8,95.0,97,852,19.0,180.0,33.9,15.0,30.1,2.5833333333333335,5.5,32.2,1.95,201.0,93.0,0.46299999999999997,8.0,2.0,0.25,51.0,29.0,0.569
buf,420,5292.0,969.0,5.5,19.0,8,302.0,284,453,3159,23,11,6.5,154.0,482,2133,20,4.4,122.0,93,835,26.0,182.0,39.0,9.3,36.6,2.7333333333333334,5.5,28.9,2.12,205.0,86.0,0.42,9.0,4.0,0.444,57.0,30.0,0.526
car,410,5943.0,1057.0,5.6,36.0,12,304.0,306,510,3642,25,24,6.8,187.0,521,2301,13,4.4,106.0,96,793,11.0,199.0,31.7,16.6,30.1,2.6333333333333333,5.5,29.6,1.71,233.0,97.0,0.41600000000000004,10.0,7.0,0.7,55.0,28.0,0.509
chi,203,4978.0,1023.0,4.9,37.0,17,277.0,355,602,3665,12,20,5.6,191.0,373,1313,6,3.5,71.0,97,808,15.0,193.0,18.7,18.7,29.2,2.45,5.4,25.6,0.93,223.0,80.0,0.359,17.0,4.0,0.235,34.0,15.0,0.441
cin,309,4832.0,1013.0,4.8,28.0,15,281.0,311,512,3157,23,13,5.6,173.0,453,1675,10,3.7,86.0,101,837,22.0,198.0,27.8,13.1,35.9,2.5166666666666666,5.3,24.2,1.5,225.0,86.0,0.382,13.0,5.0,0.385,49.0,24.0,0.49
cle,319,5297.0,1089.0,4.9,42.0,9,295.0,309,552,3089,18,33,5.2,161.0,494,2208,11,4.5,112.0,103,779,22.0,204.0,26.5,20.1,31.5,2.5166666666666666,5.5,25.9,1.36,235.0,88.0,0.374,23.0,8.0,0.348,41.0,18.0,0.439
clt,486,5715.0,1004.0,5.7,25.0,10,323.0,311,509,3600,30,15,6.6,195.0,455,2115,20,4.6,108.0,96,759,20.0,193.0,41.5,11.4,34.4,2.4333333333333336,5.4,29.5,2.28,207.0,90.0,0.435,15.0,7.0,0.467,57.0,34.0,0.596
crd,343,5685.0,1071.0,5.3,24.0,7,319.0,337,556,3598,26,17,6.3,179.0,496,2087,10,4.2,124.0,110,980,16.0,187.0,31.6,11.8,31.9,2.783333333333333,5.9,30.3,1.72,220.0,84.0,0.382,24.0,12.0,0.5,53.0,27.0,0.509
dal,338,4599.0,985.0,4.7,25.0,16,272.0,287,489,2889,20,9,5.6,160.0,472,1710,12,3.6,90.0,69,634,22.0,186.0,31.7,10.2,34.7,2.5833333333333335,5.5,24.6,1.64,214.0,76.0,0.355,15.0,8.0,0.5329999999999999,55.0,29.0,0.527
den,339,4774.0,960.0,5.0,37.0,15,292.0,308,515,3282,23,22,5.9,176.0,406,1492,9,3.7,86.0,100,853,30.0,187.0,30.5,17.1,31.7,2.466666666666667,5.3,25.4,1.6,191.0,63.0,0.33,10.0,4.0,0.4,49.0,22.0,0.449
det,424,5521.0,1015.0,5.4,22.0,6,321.0,312,514,3528,30,16,6.5,189.0,470,1993,15,4.2,99.0,95,896,33.0,187.0,34.2,10.7,31.1,2.6833333333333336,5.6,29.4,1.99,210.0,87.0,0.414,13.0,6.0,0.462,50.0,28.0,0.56
gnb,266,4937.0,1041.0,4.7,39.0,19,278.0,341,583,3168,14,20,5.0,176.0,406,1769,10,4.4,83.0,104,921,19.0,194.0,23.7,17.5,30.9,2.5166666666666666,5.5,25.3,1.21,238.0,93.0,0.391,22.0,9.0,0.409,40.0,17.0,0.425
jax,286,5070.0,1056.0,4.8,24.0,12,300.0,354,544,3459,13,12,5.9,193.0,469,1611,15,3.4,89.0,96,834,18.0,187.0,28.9,11.8,31.9,2.7333333333333334,5.8,27.0,1.47,227.0,87.0,0.38299999999999995,18.0,5.0,0.278,48.0,24.0,0.5
kan,344,5304.0,1003.0,5.3,26.0,13,296.0,296,491,3164,19,13,6.1,167.0,481,2140,15,4.4,111.0,87,761,18.0,190.0,32.1,11.6,30.5,2.6166666666666667,5.5,27.9,1.68,218.0,86.0,0.39399999999999996,8.0,5.0,0.625,45.0,21.0,0.467
mia,290,4608.0,957.0,4.8,28.0,11,283.0,262,467,2829,22,17,5.6,148.0,453,1779,9,3.9,97.0,82,623,38.0,186.0,25.3,13.4,28.8,2.5666666666666664,5.3,24.6,1.42,201.0,70.0,0.348,15.0,6.0,0.4,40.0,22.0,0.55
min,390,5666.0,985.0,5.8,18.0,10,312.0,291,478,3367,16,8,6.6,166.0,477,2299,21,4.8,127.0,92,874,19.0,177.0,39.5,9.0,31.0,2.783333333333333,5.8,31.8,2.02,204.0,82.0,0.402,10.0,6.0,0.6,62.0,32.0,0.516
nor,409,5070.0,948.0,5.3,30.0,15,284.0,278,452,3355,30,15,6.6,169.0,443,1715,15,3.9,88.0,100,877,27.0,193.0,37.3,13.5,33.1,2.533333333333333,5.1,26.3,2.05,201.0,80.0,0.39799999999999996,12.0,3.0,0.25,54.0,31.0,0.574
nwe,272,5352.0,1016.0,5.3,35.0,13,303.0,299,546,3497,15,22,6.0,171.0,429,1855,7,4.3,99.0,93,839,33.0,188.0,27.7,17.6,29.8,2.5166666666666666,5.6,28.4,1.3,215.0,80.0,0.37200000000000005,15.0,5.0,0.33299999999999996,49.0,19.0,0.38799999999999996
nyg,321,4975.0,995.0,5.0,28.0,13,268.0,298,521,3430,25,15,6.0,161.0,428,1545,7,3.6,83.0,100,695,24.0,199.0,27.6,13.6,32.9,2.45,5.2,24.8,1.47,218.0,66.0,0.303,19.0,11.0,0.579,46.0,17.0,0.37
nyj,295,5153.0,1030.0,5.0,39.0,19,284.0,313,516,2999,14,20,5.5,155.0,481,2154,15,4.5,116.0,85,700,13.0,182.0,28.0,20.9,29.5,2.7,5.8,28.1,1.48,227.0,101.0,0.445,18.0,9.0,0.5,43.0,19.0,0.442
