,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,2009,SEA,DC,32,25,26,26,25,21,25,22,26,26,27,27,22,1,15,20,23,24,24,25,24,15,15,24,13,17,25,30,24,22,24
1,2010,SEA,DC,32,17,27,28,30,28,23,21,29,31,12,29,17,14,19,28,23,27,27,25,25,25,21,18,15,17,28,27,29,25,25
2,2011,SEA,DC,32,21,5,18,23,28,23,11,15,21,10,25,16,25,22,28,12,26,9,7,5,25,15,6,4,19,19,11,6,4,12
3,2012,SEA,DC,32,6,5,3,7,17,9,7,1,3,9,5,9,32,27,8,5,7,4,1,5,2,10,5,23,7,19,6,2,8,5
4,2013,JAX,HC,32,26,23,32,32,31,32,19,28,31,28,31,2,11,22,30,27,31,27,28,24,32,29,29,19,15,14,25,21,26,26
5,2014,JAX,HC,32,29,25,30,32,31,32,21,28,21,24,6,9,16,31,31,26,32,26,26,24,30,27,24,12,2,10,22,12,30,21
6,2015,JAX,HC,32,26,29,23,22,18,14,22,30,27,29,15,18,12,10,3,26,17,24,31,27,28,15,26,5,16,24,29,19,26,23
7,2016,JAX,HC,32,29,30,27,11,23,25,27,24,22,29,17,29,4,20,16,22,27,6,25,30,27,19,24,6,24,13,5,5,32,5
8,2017,LAC,DC,32,11,3,9,6,4,13,4,19,24,21,26,2,8,1,6,9,2,15,3,6,14,31,13,32,14,7,3,3,6,3
9,2018,LAC,DC,32,3,15,7,6,11,6,11,19,15,7,7,8,24,10,8,12,5,9,8,16,11,9,6,12,19,18,9,12,15,11
10,2019,LAC,DC,32,26,31,16,5,10,21,29,28,28,20,23,22,10,6,17,29,8,6,14,32,21,18,21,15,31,1,5,8,22,20
11,2020,LAC,DC,32,17,13,20,9,9,18,4,9,18,27,30,8,5,6,10,7,15,10,23,22,14,18,18,16,21,12,9,20,14,14
