,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
0,1992,35,PIT,NFL,16,11,5,0,.688,3.6,-0.4,4.0,1,0,1,.000,1,,,
1,1993,36,PIT,NFL,16,9,7,0,.563,1.5,0.1,1.5,1,0,1,.000,2,,,
2,1994,37,PIT,NFL,16,12,4,0,.750,4.7,-0.2,5.0,2,1,1,.500,1,,,
3,1995,38,PIT,NFL,16,11,5,0,.688,4.6,3.4,1.2,3,2,1,.667,1,,,AFC Champions
4,1996,39,PIT,NFL,16,10,6,0,.625,5.2,0.0,5.1,2,1,1,.500,1,,,
5,1997,40,PIT,NFL,16,11,5,0,.688,5.3,2.7,2.6,2,1,1,.500,1,,,
6,1998,41,PIT,NFL,16,7,9,0,.438,-3.8,-5.1,1.3,,,,,3,,,
7,1999,42,PIT,NFL,16,6,10,0,.375,-2.4,-2.2,-0.2,,,,,4,2,0,
8,2000,43,PIT,NFL,16,9,7,0,.563,3.9,0.6,3.3,,,,,3,7,4,
9,2001,44,PIT,NFL,16,13,3,0,.813,7.4,1.5,5.8,2,1,1,.500,1,6,3,
10,2002,45,PIT,NFL,16,10,5,1,.656,2.7,3.1,-0.4,2,1,1,.500,1,10,6,
11,2003,46,PIT,NFL,16,6,10,0,.375,-1.1,-2.5,1.4,,,,,3,5,0,
12,2004,47,PIT,NFL,16,15,1,0,.938,9.0,3.4,5.6,2,1,1,.500,1,9,3,
13,2005,48,PIT,NFL,16,11,5,0,.688,7.8,3.8,4.0,4,4,0,1.000,2,9,6,Super Bowl Champions
14,2006,49,PIT,NFL,16,8,8,0,.500,3.4,3.0,0.4,,,,,3,11,5,
