,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,1989,KAN,DC,28,14,21,12,4,13,17,21,1,4,5,14,23,26,21,24,19,7,2,8,20,9,12,3,16,4,5,2,6,24,2
1,1990,KAN,DC,28,6,1,4,11,7,6,2,5,10,18,18,10,18,9,9,1,4,16,5,1,3,12,12,22,1,21,17,5,8,12
2,1991,KAN,DC,28,9,5,6,10,5,10,2,3,3,14,4,1,21,15,10,8,9,13,7,11,11,18,5,24,7,7,16,11,18,22
3,1992,PIT,HC,28,4,2,9,11,9,15,12,2,4,10,11,24,23,21,20,5,15,13,2,1,12,17,4,23,1,14,8,6,7,10
4,1993,PIT,HC,28,9,3,11,4,7,13,7,5,6,7,9,17,9,13,20,6,21,3,8,3,4,3,1,2,11,17,15,7,2,11
5,1994,PIT,HC,28,2,1,5,5,13,16,1,2,1,5,6,3,24,23,22,1,16,2,2,13,7,7,1,4,7,12,3,1,13,2
6,1995,PIT,HC,30,3,14,6,2,6,5,21,5,12,6,19,13,9,8,15,24,9,3,9,9,3,2,5,6,19,9,6,18,3,9
7,1996,PIT,HC,30,6,7,6,5,15,11,21,2,2,3,6,20,30,27,24,17,13,2,4,2,5,3,5,2,2,21,5,6,4,2
8,1997,PIT,HC,30,5,14,8,5,6,7,23,1,1,3,8,19,26,23,9,22,7,6,11,4,3,1,1,1,10,24,18,22,6,12
9,1998,PIT,HC,30,18,19,17,21,25,28,19,8,7,24,9,15,22,29,27,25,27,12,7,16,18,13,4,3,11,9,18,3,17,24
10,1999,PIT,HC,31,22,12,19,18,22,17,7,5,10,7,13,2,17,26,19,16,27,11,12,20,23,26,13,29,11,1,4,11,23,14
11,2000,PIT,HC,31,13,6,11,18,18,17,3,2,4,4,11,8,29,29,28,1,22,7,6,8,13,12,6,12,3,12,9,5,13,9
12,2001,PIT,HC,31,2,9,2,2,3,7,2,1,1,2,2,5,28,21,24,2,7,1,3,16,1,1,1,5,14,18,4,13,17,3
13,2002,PIT,HC,32,6,15,9,3,5,8,28,3,9,14,17,20,16,7,8,25,7,7,16,6,1,1,20,8,5,26,20,9,8,9
14,2003,PIT,HC,32,20,21,19,18,22,19,13,16,31,23,32,13,10,14,16,15,19,9,15,20,15,12,20,10,19,6,11,16,20,18
15,2004,PIT,HC,32,1,5,5,2,16,11,5,1,2,6,19,4,32,28,19,8,8,1,1,11,2,1,5,5,9,5,4,1,9,5
16,2005,PIT,HC,32,5,9,5,7,15,9,6,1,5,5,12,5,32,24,12,9,2,4,3,11,5,3,7,1,5,24,16,2,19,3
17,2006,PIT,HC,32,13,27,11,3,7,12,29,14,10,8,11,21,14,9,12,30,7,9,11,13,6,3,4,3,24,24,20,16,6,16
