Year,Age,Level,Employer,Role
1985,28,NFL,Cleveland Browns,Special Teams
1986,29,NFL,Cleveland Browns,Special Teams
1987,30,NFL,Cleveland Browns,Secondary
1988,31,NFL,Cleveland Browns,Secondary
1989,32,NFL,Kansas City Chiefs,Defensive Coordinator
1990,33,NFL,Kansas City Chiefs,Defensive Coordinator
1991,34,NFL,Kansas City Chiefs,Defensive Coordinator
1992,35,NFL,Pittsburgh Steelers,Head Coach
1993,36,NFL,Pittsburgh Steelers,Head Coach
1994,37,NFL,Pittsburgh Steelers,Head Coach
1995,38,NFL,Pittsburgh Steelers,Head Coach
1996,39,NFL,Pittsburgh Steelers,Head Coach
1997,40,NFL,Pittsburgh Steelers,Head Coach
1998,41,NFL,Pittsburgh Steelers,Head Coach
1999,42,NFL,Pittsburgh Steelers,Head Coach
2000,43,NFL,Pittsburgh Steelers,Head Coach
2001,44,NFL,Pittsburgh Steelers,Head Coach
2002,45,NFL,Pittsburgh Steelers,Head Coach
2003,46,NFL,Pittsburgh Steelers,Head Coach
2004,47,NFL,Pittsburgh Steelers,Head Coach
2005,48,NFL,Pittsburgh Steelers,Head Coach
2006,49,NFL,Pittsburgh Steelers,Head Coach
