Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
1989,HOU,OC,28,10,14,18,12,9,7,12,12,12,9,16,19,17,10,8,6,8,13,26,11,8,9,26,13,9,4,17,26,9,25
1990,HOU,OC,28,10,16,5,2,1,2,19,28,24,21,8,25,1,1,1,9,2,11,14,9,7,8,12,13,18,7,14,8,6,17
1991,HOU,OC,28,5,17,4,3,2,4,22,28,23,7,10,24,1,1,6,21,4,9,6,5,8,6,5,8,7,21,14,11,6,7
1992,HOU,OC,28,10,19,7,2,3,6,17,27,18,16,3,8,1,1,3,21,6,3,9,18,8,9,4,13,23,5,3,16,10,6
1993,HOU,OC,28,1,18,3,3,3,4,28,24,12,12,4,26,1,3,5,26,11,14,4,2,1,1,10,3,4,26,23,7,1,13
1994,HOU,OC,28,28,26,27,21,26,28,28,20,12,20,5,28,10,25,26,15,28,9,21,20,27,28,26,23,14,1,2,7,20,23
1995,JAX,OC,30,28,21,28,28,28,27,10,20,17,23,9,13,27,27,20,11,26,21,28,26,29,24,26,17,23,5,17,25,25,27
1996,JAX,OC,30,10,19,16,6,2,14,14,21,17,14,15,6,9,1,17,20,1,15,19,20,17,19,8,21,7,8,16,21,23,20
1997,SDG,HC,30,26,25,30,28,28,26,25,26,28,30,27,19,7,21,30,23,27,21,30,19,16,11,12,8,21,28,22,30,15,19
1998,SDG,HC,30,23,30,26,10,24,29,30,12,15,16,22,27,3,26,29,30,28,1,18,18,12,1,14,1,23,17,11,11,8,5
1999,PIT,OC,31,22,12,19,18,22,17,7,5,10,7,13,2,17,26,19,16,27,11,12,20,23,26,13,29,11,1,4,11,23,14
2000,PIT,OC,31,13,6,11,18,18,17,3,2,4,4,11,8,29,29,28,1,22,7,6,8,13,12,6,12,3,12,9,5,13,9
2002,BUF,OC,32,17,28,20,13,11,11,19,29,24,9,19,25,3,5,11,12,14,15,27,32,23,29,31,24,25,4,6,22,26,15
2003,BUF,OC,32,20,31,20,17,30,30,27,20,21,16,23,29,22,28,31,15,31,2,5,32,23,8,10,5,27,13,2,9,30,3
2007,NYG,OC,32,7,26,13,11,16,14,23,8,4,7,4,23,17,21,14,23,22,7,17,22,10,8,17,9,18,9,11,20,20,10
2008,NYG,OC,32,2,4,3,4,7,3,1,7,1,8,1,1,21,18,8,4,14,5,5,20,3,9,15,12,30,12,8,7,9,7
2009,NYG,OC,32,16,24,19,10,8,8,22,13,17,15,20,31,17,11,7,12,9,13,30,22,13,14,30,14,15,6,15,30,22,21
2010,NYG,OC,32,8,18,11,3,5,7,32,7,6,6,7,31,17,10,4,31,4,7,17,1,5,8,12,13,1,19,10,19,14,6
2011,NYG,OC,32,10,7,19,12,8,9,16,22,32,6,32,10,6,5,6,19,4,27,25,5,16,19,23,23,7,24,29,25,6,20
2012,NYG,OC,32,14,4,8,24,14,6,9,23,14,5,7,5,21,12,11,15,9,31,12,3,22,25,6,28,4,8,28,19,3,29
2013,NYG,OC,32,20,31,23,22,28,28,32,27,29,21,30,29,19,19,27,32,19,8,18,10,24,14,15,6,5,25,10,7,12,8
