Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
1961,HOU,HC,8,2,3,1,1,1,1,2,1,2,5,3,2,2,1,1,6,1,2,2,2,3,6,4,6,5,8,2,1,2,1
1962,STL,HC,14,11,14,11,7,3,10,13,9,8,2,6,13,1,4,10,12,8,9,10,13,9,8,11,4,9,7,10,8,13,9
1963,STL,HC,14,5,7,6,4,4,4,9,7,5,12,3,10,1,4,2,6,7,5,6,6,11,10,13,5,3,4,4,3,10,5
1964,STL,HC,14,3,6,5,3,2,3,9,4,7,8,9,5,4,3,7,11,4,8,11,5,2,9,5,13,9,8,8,8,2,9
1965,STL,HC,14,11,8,8,6,6,9,5,7,7,10,9,1,2,4,10,11,7,9,7,9,10,10,3,10,7,6,5,9,10,7
1966,HOU,HC,9,8,7,7,7,7,3,7,4,5,6,7,4,2,4,2,6,7,9,9,7,7,7,3,7,5,5,8,9,8,8
1967,HOU,HC,9,2,2,3,7,8,6,1,1,1,5,1,1,9,9,9,3,8,5,1,4,5,7,1,5,4,7,4,1,7,4
1968,HOU,HC,10,5,7,5,4,5,5,5,4,4,2,7,5,6,4,7,6,5,2,3,9,7,4,2,3,9,3,1,1,7,1
1969,HOU,HC,10,5,8,5,3,5,7,9,5,5,4,7,7,1,2,8,10,7,3,5,4,5,5,4,3,2,3,3,3,5,3
1970,HOU,HC,26,22,24,24,21,10,20,17,20,19,18,14,15,1,7,19,19,20,25,25,23,18,17,22,14,25,5,24,26,18,26
