,Year,Age,Level,Employer,Role
0,1987,22,College (FBS),Pacific,Graduate Assistant
1,1988,23,College (FBS),Pacific,Graduate Assistant
2,1989,24,College (FBS),Pacific,Graduate Assistant
3,1990,25,College (FBS),Cal State Fullerton,Running Backs/Special Teams
4,1991,26,WLAF,London Monarchs,RBs/WRs/Special Teams
5,1992,27,College (FBS),Arizona State,Running Backs/Quarterbacks
6,1993,28,College (FBS),Arizona State,Running Backs/Quarterbacks
7,1994,29,College (FBS),Arizona State,Running Backs/Quarterbacks
8,1995,30,College (FBS),Arizona State,Running Backs/Quarterbacks
9,1996,31,College (FBS),California,Offensive Coordinator/QBs
10,1997,32,College (FBS),USC,Offensive Coordinator/RBs/QBs
11,1998,33,College (FBS),USC,Offensive Coordinator/RBs/QBs
12,1999,34,College (FBS),USC,Offensive Coordinator/RBs/QBs
13,2000,35,College (FBS),USC,Offensive Coordinator/RBs/QBs
14,2001,36,NFL,Washington Redskins,Running Backs
15,2002,37,NFL,Washington Redskins,Running Backs
16,2003,38,NFL,Washington Redskins,Offensive Coordinator
17,2004,39,NFL,Cincinnati Bengals,Wide Receivers
18,2005,40,NFL,Cincinnati Bengals,Wide Receivers
19,2006,41,NFL,Cincinnati Bengals,Wide Receivers
20,2007,42,NFL,Atlanta Falcons,Offensive Coordinator
21,2008,43,NFL,Baltimore Ravens,Quarterbacks
22,2009,44,NFL,Baltimore Ravens,Quarterbacks
23,2010,45,NFL,Oakland Raiders,Offensive Coordinator
24,2011,46,NFL,Oakland Raiders,Head Coach
25,2012,47,NFL,Cincinnati Bengals,Secondary
26,2013,48,NFL,Cincinnati Bengals,Running Backs
27,2014,49,NFL,Cincinnati Bengals,Offensive Coordinator
28,2015,50,NFL,Cincinnati Bengals,Offensive Coordinator
29,2016,51,NFL,Cleveland Browns,Head Coach
30,2017,52,NFL,Cleveland Browns,Head Coach/Offensive Coordinator
31,2018,53,NFL,Cincinnati Bengals,Special Assistant
32,2018,53,NFL,Cleveland Browns,Head Coach
33,2021,56,College (FCS),Tennessee State,Offensive Coordinator
34,2022,57,College (FCS),Grambling,Head Coach
35,2023,58,College (FCS),Grambling,Head Coach
36,2025,60,College (FBS),Georgia State,Offensive Coordinator
