,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,1992,NYG,OC,28,18,12,17,21,22,13,3,9,6,2,4,11,22,25,24,2,25,18,26,26,17,25,25,25,18,3,16,22,23,26
1,1993,DEN,OC,28,9,11,4,9,5,3,8,9,18,7,18,24,8,4,3,3,6,19,10,12,3,4,1,5,16,23,27,20,12,22
2,1994,DEN,OC,28,17,22,20,19,6,10,16,16,23,3,24,25,5,6,18,4,17,28,25,20,10,17,17,25,7,20,28,27,22,28
3,1996,ARI,OC,30,19,26,26,17,13,22,25,27,25,24,17,20,3,6,10,23,19,21,26,25,27,21,25,10,7,11,21,13,27,26
4,1997,NYG,HC,30,7,1,10,25,27,21,1,5,7,12,17,2,25,28,22,9,28,18,3,1,9,3,25,2,2,29,26,1,1,10
5,1998,NYG,HC,30,13,13,15,23,29,23,8,10,12,19,16,9,18,28,19,11,29,19,8,19,17,23,19,22,23,16,13,3,10,8
6,1999,NYG,HC,31,21,25,23,15,17,20,16,15,24,17,27,16,3,8,25,22,18,13,23,26,21,13,21,5,27,8,14,11,15,28
7,2000,NYG,HC,31,2,9,9,8,13,15,5,6,11,7,19,8,17,13,9,6,12,5,5,12,2,2,2,3,21,29,16,17,9,8
8,2001,NYG,HC,31,16,16,18,7,9,21,17,19,15,14,11,16,5,8,15,13,14,14,16,16,12,8,4,7,9,17,21,24,20,21
9,2002,NYG,HC,32,7,18,12,5,6,22,11,7,14,16,25,15,17,6,20,9,2,9,3,24,8,16,6,25,9,16,9,5,25,6
10,2003,NYG,HC,32,29,31,31,23,20,30,30,31,28,29,16,30,1,11,26,24,25,22,29,25,26,18,13,8,13,19,25,27,30,20
11,2005,BAL,OC,32,19,28,18,17,24,25,28,16,21,30,27,26,8,22,23,27,27,5,10,21,13,9,3,8,5,18,8,9,25,2
12,2006,BAL,OC,32,2,1,3,6,17,12,6,11,25,22,31,6,13,11,13,11,8,1,1,2,2,2,1,2,14,13,6,5,1,2
