,Year,Age,Level,Employer,Role
0,2006,24,College (FBS),North Carolina,Graduate Assistant
1,2007,25,NFL,Washington Redskins,Defensive Quality Assistant
2,2008,26,NFL,Washington Redskins,Defensive Quality Assistant
3,2010,28,College (FBS),Ole Miss,Defensive Intern
4,2011,29,NFL,Tennessee Titans,Defensive Quality Control
5,2012,30,NFL,Tennessee Titans,Offensive Quality Control
6,2013,31,NFL,Tennessee Titans,OL/Tight Ends
7,2014,32,NFL,Tennessee Titans,Asst. Tight Ends
8,2015,33,NFL,Tennessee Titans,Asst. Tight Ends
9,2016,34,NFL,Tennessee Titans,Tight Ends
10,2017,35,NFL,Tennessee Titans,Tight Ends
11,2018,36,NFL,Tennessee Titans,Tight Ends
12,2019,37,NFL,Tennessee Titans,Offensive Coordinator
13,2020,38,NFL,Tennessee Titans,Offensive Coordinator
14,2021,39,NFL,Atlanta Falcons,Head Coach
15,2022,40,NFL,Atlanta Falcons,Head Coach
16,2023,41,NFL,Atlanta Falcons,Head Coach
17,2024,42,NFL,Pittsburgh Steelers,Offensive Coordinator
18,2025,43,NFL,Pittsburgh Steelers,Offensive Coordinator
