,Year,Lg,Tm,W,L,T,Div. Finish,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts Def Rank,Yds Def Rank,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
0,1925,NFL,Rock Island Independents,5,3,3,8th of 20,,99,58,41,Ursella,,,,,9,1,4,1,1,5,1,20,3.7,-1.9,1.8,-1.2,3.0
1,1924,NFL,Rock Island Independents,5,2,2,5th of 18,,88,38,50,Armstrong,,,,,8,1,3,1,1,6,1,18,5.6,0.2,5.7,1.2,4.5
2,1923,NFL,Rock Island Independents,2,3,3,12th of 20,,84,62,22,Sies,,,,,4,1,12,1,1,8,1,20,2.8,-4.7,-1.9,0.3,-2.2
3,1922,NFL,Rock Island Independents,4,2,1,5th of 18,,154,27,127,Conzelman,,,,,1,1,3,1,1,1,1,18,18.1,-5.6,12.5,11.8,0.7
4,1921,APFA,Rock Island Independents,4,2,1,5th of 21,,65,30,35,"Conzelman,Coughlin",,,,,10,1,3,1,1,6,1,21,5.0,3.0,8.0,1.2,6.9
5,1920,APFA,Rock Island Independents,6,2,2,4th of 14,,201,49,152,Ursella,,,,,2,1,6,1,1,2,1,14,15.2,-20.2,-5.0,-5.6,0.5
