,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
0,2008,44,Oakland Raiders,NFL,12,4,8,0,.333,-7.5,-6.5,-1.0,,,,,3,5,3,Coach starting Week 5
1,2009,45,Oakland Raiders,NFL,16,5,11,0,.313,-10.3,-8.7,-1.6,,,,,3,7,2,
2,2010,46,Oakland Raiders,NFL,16,8,8,0,.500,0.2,2.3,-2.2,,,,,3,11,5,
