,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,2001,STL,DC,31,1,26,1,1,1,1,31,22,5,1,1,31,12,1,1,24,1,3,7,9,2,3,17,11,9,21,11,7,8,6
1,2002,STL,DC,32,20,32,25,11,13,23,32,32,30,21,20,27,1,2,11,32,11,13,23,22,18,14,17,13,9,2,12,2,24,26
2,2003,STL,DC,32,3,7,3,12,9,2,32,28,30,4,28,28,2,3,11,31,11,16,17,1,5,20,4,29,1,16,12,22,4,11
3,2004,CHI,HC,32,26,23,28,32,32,32,27,19,25,19,26,32,24,32,32,14,32,21,13,16,27,25,8,16,13,17,15,17,15,16
4,2005,CHI,HC,32,5,11,12,25,29,26,17,9,8,17,7,17,30,31,30,14,30,2,1,6,18,11,4,9,23,26,5,1,2,1
5,2006,CHI,HC,32,2,4,2,10,15,2,28,5,15,11,23,21,17,14,8,27,14,5,3,1,5,6,2,11,1,31,11,9,2,1
6,2007,CHI,HC,32,18,17,20,30,27,18,23,19,30,25,32,19,10,15,20,28,23,28,16,8,20,24,29,24,4,19,27,8,17,22
7,2008,CHI,HC,32,12,8,17,25,26,14,21,15,24,14,27,26,14,21,16,15,25,21,16,2,16,5,21,3,16,32,30,18,3,10
8,2009,CHI,HC,32,21,23,21,23,23,19,29,29,29,29,26,3,8,17,10,30,19,17,21,12,25,23,18,18,1,16,13,28,22,15
9,2010,CHI,HC,32,5,11,10,22,30,21,21,21,22,21,23,13,32,28,20,25,25,9,4,3,4,2,20,6,5,27,20,2,5,8
10,2011,CHI,HC,32,13,11,16,26,24,17,23,9,9,21,10,16,27,26,24,25,23,17,14,5,6,5,6,10,7,31,28,13,6,13
11,2012,CHI,HC,32,9,2,6,16,28,16,14,10,10,18,14,9,27,29,22,18,27,5,3,1,4,8,3,14,2,25,8,7,1,4
12,2014,TAM,HC,32,31,26,28,31,30,29,31,31,29,27,24,25,21,25,20,31,29,25,25,14,27,19,24,7,10,21,28,22,14,26
13,2015,TAM,HC,32,22,22,25,7,5,20,22,8,5,15,2,28,22,17,22,22,8,10,26,16,29,11,20,2,9,7,16,25,21,19
14,2021,HOU,DC,32,28,12,30,32,32,30,13,23,32,31,32,9,22,28,20,21,25,31,27,10,31,31,31,27,11,8,23,16,8,30
15,2022,HOU,HC,32,31,16,30,32,31,30,30,30,31,31,31,14,14,25,18,31,28,30,27,5,32,32,31,29,5,6,10,1,7,22
