Year,Age,Level,Employer,Role
1980,22,High School,Big Sandy HS (TX),Defensive Coordinator
1981,23,High School,"Cascia Hall Prep (Tulsa, OK)",Asst. Coach/DB/WR
1982,24,High School,"Cascia Hall Prep (Tulsa, OK)",Asst. Coach/DB/WR
1983,25,College,Tulsa,Linebackers
1984,26,College,Tulsa,Linebackers
1985,27,College,Tulsa,Linebackers
1986,28,College,Tulsa,Linebackers
1987,29,College,Wisconsin,Linebackers
1988,30,College,Arizona State,Linebackers
1989,31,College,Arizona State,Linebackers
1990,32,College,Arizona State,Linebackers
1991,33,College,Arizona State,Linebackers
1992,34,College,Kentucky,Linebackers
1993,35,College,Tennessee,Defensive Backs
1994,36,College,Tennessee,Defensive Backs
1995,37,College,Ohio State,Defensive Backs
1996,38,NFL,Tampa Bay Buccaneers,Linebackers
1997,39,NFL,Tampa Bay Buccaneers,Linebackers
1998,40,NFL,Tampa Bay Buccaneers,Linebackers
1999,41,NFL,Tampa Bay Buccaneers,Linebackers
2000,42,NFL,Tampa Bay Buccaneers,Linebackers
2001,43,NFL,St. Louis Rams,Defensive Coordinator
2002,44,NFL,St. Louis Rams,Defensive Coordinator
2003,45,NFL,St. Louis Rams,Assistant Head Coach/Defensive Coordinator
2004,46,NFL,Chicago Bears,Head Coach
2005,47,NFL,Chicago Bears,Head Coach
2006,48,NFL,Chicago Bears,Head Coach
2007,49,NFL,Chicago Bears,Head Coach
2008,50,NFL,Chicago Bears,Head Coach
2009,51,NFL,Chicago Bears,Head Coach
2010,52,NFL,Chicago Bears,Head Coach
2011,53,NFL,Chicago Bears,Head Coach
2012,54,NFL,Chicago Bears,Head Coach
2014,56,NFL,Tampa Bay Buccaneers,Head Coach
2015,57,NFL,Tampa Bay Buccaneers,Head Coach
2016,58,College,Illinois,Head Coach
2017,59,College,Illinois,Head Coach
2018,60,College,Illinois,Head Coach
2019,61,College,Illinois,Head Coach
2020,62,College,Illinois,Head Coach
2021,63,NFL,Houston Texans,Defensive Coordinator
2022,64,NFL,Houston Texans,Head Coach
