Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
2000,CLE,DC,31,29,19,31,31,31,31,13,31,30,26,30,2,24,30,30,20,30,26,27,20,31,29,30,19,13,7,12,11,25,17
2001,NWE,DC,31,6,9,7,25,19,6,13,8,13,7,24,16,24,22,11,11,15,24,6,8,13,19,4,21,9,23,24,6,6,19
2002,NWE,DC,32,11,10,14,20,21,10,7,28,28,26,27,10,4,12,2,9,22,23,17,14,21,31,23,29,17,12,11,18,12,10
2003,NWE,DC,32,1,2,6,14,17,12,7,12,27,24,30,13,6,9,11,6,13,7,1,2,4,4,6,6,13,32,15,1,1,2
2004,NWE,DC,32,2,8,1,4,7,4,14,5,7,8,18,23,22,11,5,11,7,9,2,3,5,6,8,11,3,26,17,7,7,10
2005,CLE,HC,32,19,23,22,26,26,32,20,26,25,31,21,17,19,23,26,22,21,16,11,25,31,30,11,22,30,6,4,14,19,17
2006,CLE,HC,32,29,31,30,32,31,30,31,31,31,28,29,30,18,23,27,32,30,27,22,18,30,29,17,23,24,8,15,14,10,20
2007,CLE,HC,32,7,19,14,20,8,8,14,16,10,13,6,8,16,12,8,23,9,30,21,19,24,27,6,29,18,28,24,29,14,15
2008,CLE,HC,32,28,8,27,31,31,30,16,24,26,31,26,3,23,31,30,29,31,26,16,3,31,28,21,25,20,3,14,10,2,29
2010,KAN,DC,32,8,5,13,10,12,14,2,1,1,12,4,2,29,30,10,3,23,14,11,23,10,14,12,19,20,26,17,13,19,5
2011,KAN,HC,32,21,18,29,21,27,31,20,5,15,30,28,21,26,25,30,23,24,11,12,13,29,26,20,14,28,1,6,15,6,24
,KAN,DC,32,21,18,29,21,27,31,20,5,15,30,28,21,26,25,30,23,24,11,12,13,29,26,20,14,28,1,6,15,6,24
2012,KAN,HC,32,31,31,32,27,24,32,30,5,5,25,6,29,29,32,32,31,31,20,25,31,27,27,12,25,25,1,12,26,31,30
,KAN,DC,32,31,31,32,27,24,32,30,5,5,25,6,29,29,32,32,31,31,20,25,31,27,27,12,25,25,1,12,26,31,30
2014,HOU,DC,32,13,2,11,19,17,14,11,1,5,14,23,13,30,24,17,13,13,16,7,1,13,10,2,10,2,31,21,22,3,7
2015,HOU,DC,32,12,10,12,6,19,21,11,5,15,24,28,7,9,18,15,11,26,3,7,12,8,10,10,17,11,14,3,11,13,3
2016,HOU,DC,32,11,26,26,10,29,28,19,6,8,29,19,11,14,29,30,22,30,1,11,26,12,12,17,13,24,3,2,5,21,4
2018,HOU,DC,32,6,2,9,13,15,11,3,4,8,20,19,8,27,17,17,6,12,12,4,4,9,3,3,1,1,27,28,18,9,18
2019,HOU,DC,32,8,15,15,20,13,14,18,12,9,10,8,11,20,15,12,20,13,28,19,15,10,25,9,27,10,25,29,27,17,25
2020,HOU,HC,32,29,27,26,27,13,18,9,31,31,30,18,24,23,4,8,2,1,30,27,32,30,32,30,32,25,9,24,23,32,28
