,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,1982,CHI,HC,28,21,13,22,25,26,22,8,15,18,21,19,5,22,23,16,9,23,16,13,20,11,5,1,7,22,21,21,21,10,17
1,1983,CHI,HC,28,13,12,12,5,6,20,8,5,1,20,2,7,23,17,16,11,10,8,5,15,9,11,22,15,13,10,12,1,19,10
2,1984,CHI,HC,28,7,10,9,1,7,16,6,1,1,1,4,14,27,26,24,4,13,1,3,16,1,1,2,5,17,2,2,1,10,3
3,1985,CHI,HC,28,1,1,1,1,7,2,4,1,1,1,5,9,26,20,22,6,4,1,1,1,1,1,1,6,5,18,3,3,1,2
4,1986,CHI,HC,28,1,14,1,1,7,13,26,1,1,3,3,26,27,20,28,22,9,1,1,3,3,2,1,2,14,15,2,1,2,1
5,1987,CHI,HC,28,3,27,6,4,12,9,27,13,13,12,12,23,14,12,11,25,17,2,4,28,3,1,1,1,24,24,7,17,25,1
6,1988,CHI,HC,28,1,12,4,3,11,18,15,4,3,3,9,25,22,20,23,5,8,2,1,12,1,1,1,2,26,25,9,10,3,2
7,1989,CHI,HC,28,21,19,16,19,10,10,25,7,2,2,4,19,19,19,12,23,14,25,20,8,10,15,27,23,21,23,24,14,4,20
8,1990,CHI,HC,28,6,3,10,9,13,10,6,1,2,1,5,10,23,28,24,6,24,6,9,1,6,7,8,14,15,16,10,9,1,6
9,1991,CHI,HC,28,5,19,11,7,11,14,17,6,9,4,15,18,16,13,14,15,14,4,9,17,5,10,10,18,18,16,8,18,14,5
10,1992,CHI,HC,28,21,19,18,13,8,16,15,16,10,8,6,5,15,14,14,24,14,17,22,22,22,21,18,19,7,4,15,16,23,20
11,1997,NOR,HC,30,22,30,25,27,30,30,30,25,27,22,26,30,27,27,29,30,24,4,16,9,24,14,10,4,7,14,6,15,13,4
12,1998,NOR,HC,30,20,16,19,30,28,21,21,30,30,29,27,19,11,18,18,24,24,26,21,10,15,16,19,8,15,19,30,21,4,28
13,1999,NOR,HC,31,30,19,29,24,19,29,28,11,18,20,21,5,11,19,26,30,21,20,28,9,16,20,23,23,7,5,21,30,12,29
