,Year,Age,Level,Employer,Role
0,1996,24,College (FBS),Texas A&M,Graduate Assistant
1,1997,25,College (FBS),Texas A&M,Graduate Assistant
2,1998,26,College (FBS),Texas A&M,Graduate Assistant
3,1999,27,College (FBS),Texas A&M,Graduate Assistant
4,2000,28,College (FBS),Tulsa,Secondary
5,2001,29,College (FBS),Tulsa,Secondary
6,2002,30,NFL,Atlanta Falcons,Defensive Quality Control
7,2003,31,NFL,Atlanta Falcons,Defensive Quality Control
8,2004,32,NFL,Atlanta Falcons,Defensive Assistant
9,2005,33,NFL,Atlanta Falcons,Defensive Assistant
10,2006,34,NFL,New Orleans Saints,Asst. Defensive Line
11,2007,35,NFL,New Orleans Saints,Asst. Defensive Line
12,2008,36,NFL,New Orleans Saints,Secondary
13,2009,37,NFL,New Orleans Saints,Secondary
14,2010,38,NFL,New Orleans Saints,Secondary
15,2011,39,NFL,Denver Broncos,Defensive Coordinator
16,2012,40,NFL,Oakland Raiders,Head Coach
17,2013,41,NFL,Oakland Raiders,Head Coach
18,2014,42,NFL,Oakland Raiders,Head Coach
19,2015,43,NFL,New Orleans Saints,Defensive Assistant/Interim Defensive Coordinator
20,2016,44,NFL,New Orleans Saints,Defensive Coordinator
21,2017,45,NFL,New Orleans Saints,Defensive Coordinator
22,2018,46,NFL,New Orleans Saints,Defensive Coordinator
23,2019,47,NFL,New Orleans Saints,Defensive Coordinator
24,2020,48,NFL,New Orleans Saints,Defensive Coordinator
25,2021,49,NFL,New Orleans Saints,Defensive Coordinator
26,2022,50,NFL,New Orleans Saints,Head Coach
27,2023,51,NFL,New Orleans Saints,Head Coach
28,2024,52,NFL,New Orleans Saints,Head Coach
29,2025,53,NFL,Chicago Bears,Defensive Coordinator
