Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
2012,40,OAK,NFL,16,4,12,0,.250,-10.8,-4.6,-6.2,,,,,3,4,4,
2013,41,OAK,NFL,16,4,12,0,.250,-8.0,-3.8,-4.2,,,,,4,4,1,
2014,42,OAK,NFL,4,0,4,0,.000,-9.0,-4.3,-4.7,,,,,4,3,2,Fired after week 4
2022,50,NOR,NFL,17,7,10,0,.412,-1.2,-2.8,1.7,,,,,3,4,4,
2023,51,NOR,NFL,17,9,8,0,.529,2.2,1.7,0.5,,,,,2,3,0,
2024,52,NOR,NFL,9,2,7,0,.222,-4.1,-3.6,-0.5,,,,,4,3,2,fired after week 9
