,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,1995,PHI,OC,30,6,11,18,13,25,21,24,2,4,3,6,26,26,29,28,19,29,4,15,3,21,19,16,15,3,3,2,1,8,4
1,1996,PHI,OC,30,6,17,12,3,4,9,17,5,9,5,14,20,12,4,17,15,5,5,21,15,8,10,14,13,18,5,6,10,14,11
2,1997,PHI,OC,30,20,24,22,7,5,19,20,9,10,18,10,24,4,6,9,16,17,13,24,19,22,25,22,22,18,5,7,11,18,9
3,1998,OAK,HC,30,13,24,21,12,18,22,29,17,16,29,18,29,16,21,14,28,25,5,20,5,21,15,4,5,7,11,4,15,4,4
4,1999,OAK,HC,31,12,11,10,4,5,8,12,7,3,4,7,22,23,11,8,4,6,10,16,10,7,12,13,18,13,15,12,19,11,10
5,2000,OAK,HC,31,2,3,1,12,6,3,2,3,1,2,3,2,25,15,6,4,8,17,9,7,4,5,5,14,7,30,25,23,6,16
6,2001,OAK,HC,31,9,16,8,9,7,4,8,12,24,9,26,27,11,4,4,1,8,18,19,25,14,22,27,28,29,19,9,7,14,7
7,2002,TAM,HC,32,1,1,2,4,24,18,6,23,27,31,28,12,11,15,14,2,21,1,1,3,10,5,3,5,30,5,1,1,1,1
8,2003,TAM,HC,32,17,10,14,4,10,18,20,22,24,30,22,7,3,6,5,29,10,5,4,9,17,13,1,11,7,4,3,5,10,6
9,2004,TAM,HC,32,26,24,17,12,22,23,26,27,29,26,25,29,20,14,11,20,15,5,9,21,23,19,5,15,19,2,1,15,17,2
10,2005,TAM,HC,32,5,9,14,16,23,20,6,15,14,14,14,5,20,25,23,9,24,1,8,11,16,6,7,2,10,7,6,2,10,12
11,2006,TAM,HC,32,29,30,31,29,29,31,23,28,28,31,24,21,11,26,28,19,31,17,21,30,28,17,9,7,24,6,19,30,28,27
12,2007,TAM,HC,32,12,4,9,6,18,18,3,11,11,7,9,14,25,16,20,1,12,2,3,3,20,17,12,7,1,6,1,6,17,2
13,2008,TAM,HC,32,12,11,15,10,14,19,16,11,15,19,20,26,6,11,19,12,15,9,10,5,18,19,4,22,20,8,4,23,3,11
14,2018,OAK,HC,32,29,26,31,27,23,28,22,23,25,27,23,31,16,18,24,8,19,26,32,22,30,30,21,22,32,1,19,32,14,32
15,2019,OAK,HC,32,17,21,27,14,11,24,7,11,13,18,17,15,21,9,19,5,6,19,24,31,12,8,21,5,27,7,25,27,29,30
16,2020,LVR,HC,32,14,30,21,17,8,10,27,11,14,6,19,32,21,7,11,7,5,25,30,30,22,24,30,24,29,24,26,16,23,27
