,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
0,1998,35,Oakland Raiders,NFL,16,8,8,0,.500,-5.6,-4.1,-1.5,,,,,2,,,
1,1999,36,Oakland Raiders,NFL,16,8,8,0,.500,6.8,5.7,1.0,,,,,4,3,1,
2,2000,37,Oakland Raiders,NFL,16,12,4,0,.750,9.7,8.0,1.8,2,1,1,.500,1,9,4,
3,2001,38,Oakland Raiders,NFL,16,10,6,0,.625,3.6,4.0,-0.4,2,1,1,.500,1,5,2,
4,2002,39,Tampa Bay Buccaneers,NFL,16,12,4,0,.750,8.8,-1.0,9.8,3,3,0,1.000,1,8,4,Super Bowl Champions
5,2003,40,Tampa Bay Buccaneers,NFL,16,7,9,0,.438,1.6,-2.9,4.5,,,,,3,8,2,
6,2004,41,Tampa Bay Buccaneers,NFL,16,5,11,0,.313,-2.7,-4.0,1.3,,,,,4,8,3,
7,2005,42,Tampa Bay Buccaneers,NFL,16,11,5,0,.688,-1.0,-2.8,1.8,1,0,1,.000,1,11,3,
8,2006,43,Tampa Bay Buccaneers,NFL,16,4,12,0,.250,-7.9,-7.2,-0.8,,,,,4,9,4,
9,2007,44,Tampa Bay Buccaneers,NFL,16,9,7,0,.563,1.2,-2.3,3.6,1,0,1,.000,1,7,3,
10,2008,45,Tampa Bay Buccaneers,NFL,16,9,7,0,.563,2.3,-0.6,2.9,,,,,3,11,3,
11,2018,55,Oakland Raiders,NFL,16,4,12,0,.250,-9.3,-5.2,-4.1,,,,,4,7,3,
12,2019,56,Oakland Raiders,NFL,16,7,9,0,.438,-6.9,-2.5,-4.4,,,,,3,10,1,
13,2020,57,Las Vegas Raiders,NFL,3,2,1,0,.667,7.6,7.3,0.2,,,,,2,0,0,
