,Year,Age,Level,Employer,Role
0,1986,23,College (FBS),Tennessee,Graduate Assistant
1,1987,24,College (FBS),Tennessee,Graduate Assistant
2,1988,25,College (NCAA D-II),Southeast Missouri State,Passing Game Coordinator
3,1989,26,College (FBS),Pacific,Wide Receivers
4,1990,27,NFL,San Francisco 49ers,Offensive Assistant
5,1991,28,College (FBS),Pittsburgh,Wide Receivers
6,1992,29,NFL,Green Bay Packers,Offensive Assistant
7,1993,30,NFL,Green Bay Packers,Wide Receivers
8,1994,31,NFL,Green Bay Packers,Wide Receivers
9,1995,32,NFL,Philadelphia Eagles,Offensive Coordinator
10,1996,33,NFL,Philadelphia Eagles,Offensive Coordinator
11,1997,34,NFL,Philadelphia Eagles,Offensive Coordinator
12,1998,35,NFL,Oakland Raiders,Head Coach
13,1999,36,NFL,Oakland Raiders,Head Coach
14,2000,37,NFL,Oakland Raiders,Head Coach
15,2001,38,NFL,Oakland Raiders,Head Coach
16,2002,39,NFL,Tampa Bay Buccaneers,Head Coach
17,2003,40,NFL,Tampa Bay Buccaneers,Head Coach
18,2004,41,NFL,Tampa Bay Buccaneers,Head Coach
19,2005,42,NFL,Tampa Bay Buccaneers,Head Coach
20,2006,43,NFL,Tampa Bay Buccaneers,Head Coach
21,2007,44,NFL,Tampa Bay Buccaneers,Head Coach
22,2008,45,NFL,Tampa Bay Buccaneers,Head Coach
23,2018,55,NFL,Oakland Raiders,Head Coach
24,2019,56,NFL,Oakland Raiders,Head Coach
25,2020,57,NFL,Las Vegas Raiders,Head Coach
26,2021,58,NFL,Las Vegas Raiders,Head Coach
27,2024,61,ELF,Milano Seamen,Advisor
