Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
1991,47,NYG,NFL,16,8,8,0,.500,1.0,-0.6,1.5,,,,,4,
1992,48,NYG,NFL,16,6,10,0,.375,-1.8,1.6,-3.4,,,,,4,
