,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
0,1924,31,Frankford Yellow Jackets,NFL,14,11,2,1,.846,7.1,7.7,-0.6,,,,,3,
1,1926,33,Brooklyn Lions,NFL,11,3,8,0,.273,-9.6,-2.4,-7.2,,,,,14,
