Year,Age,Level,Employer,Role
1973,22,College,Texas Christian,Assistant Coach
1974,23,College,Texas Christian,Assistant Coach
1975,24,College,Missouri,Assistant Coach
1976,25,College,Missouri,Assistant Coach
1977,26,College,Missouri,Assistant Coach
1978,27,College,Indiana State,Assistant Coach
1980,29,College,Indiana State,Assistant Coach
1981,30,College,Indiana State,Assistant Coach
1982,31,College,Texas Christian,Assistant Coach
1983,32,College,Kansas State,Defensive Ends/Linebackers
1984,33,College,Kansas State,Defensive Ends/Linebackers
1985,34,College,Kansas State,Defensive Ends/Linebackers
1986,35,NFL,Chicago Bears,Linebackers
1987,36,NFL,Chicago Bears,Linebackers
1988,37,NFL,Chicago Bears,Linebackers
1989,38,NFL,Chicago Bears,Linebackers
1990,39,NFL,Chicago Bears,Linebackers
1991,40,NFL,Chicago Bears,Linebackers
1992,41,NFL,Chicago Bears,Linebackers
1993,42,NFL,Chicago Bears,Linebackers
1994,43,NFL,Chicago Bears,Linebackers
1995,44,NFL,Chicago Bears,Linebackers
1996,45,NFL,Arizona Cardinals,Defensive Coordinator
1997,46,NFL,Arizona Cardinals,Defensive Coordinator
1998,47,NFL,Arizona Cardinals,Defensive Coordinator
1999,48,NFL,Arizona Cardinals,Defensive Coordinator
2000,49,NFL,Arizona Cardinals,Defensive Coordinator/Interim HC
2001,50,NFL,Arizona Cardinals,Head Coach
2002,51,NFL,Arizona Cardinals,Head Coach
2003,52,NFL,Arizona Cardinals,Head Coach
2004,53,NFL,Tennessee Titans,Linebackers
2005,54,NFL,Tennessee Titans,Assistant Head Coach/Linebackers
2006,55,NFL,Tennessee Titans,Assistant Head Coach/Linebackers
2007,56,NFL,Tennessee Titans,Assistant Head Coach/Linebackers
2008,57,NFL,Tennessee Titans,Assistant Head Coach/Linebackers
2009,58,NFL,Tennessee Titans,Assistant Head Coach/Linebackers
2010,59,NFL,Tennessee Titans,Assistant Head Coach/Linebackers
2011,60,NFL,Tennessee Titans,Assistant Head Coach/Linebackers
2012,61,NFL,St. Louis Rams,Assistant Head Coach
2013,62,NFL,St. Louis Rams,Assistant Head Coach
2014,63,NFL,St. Louis Rams,Assistant Head Coach
2015,64,NFL,St. Louis Rams,Assistant Head Coach
2016,65,NFL,Los Angeles Rams,Assistant Head Coach
