Year,Age,Level,Employer,Role
1961,35,NFL,Minnesota Vikings,Head Coach
1962,36,NFL,Minnesota Vikings,Head Coach
1963,37,NFL,Minnesota Vikings,Head Coach
1964,38,NFL,Minnesota Vikings,Head Coach
1965,39,NFL,Minnesota Vikings,Head Coach
1966,40,NFL,Minnesota Vikings,Head Coach
1968,42,NFL,Atlanta Falcons,Head Coach
1969,43,NFL,Atlanta Falcons,Head Coach
1970,44,NFL,Atlanta Falcons,Head Coach
1971,45,NFL,Atlanta Falcons,Head Coach
1972,46,NFL,Atlanta Falcons,Head Coach
1973,47,NFL,Atlanta Falcons,Head Coach
1974,48,NFL,Atlanta Falcons,Head Coach
1979,53,College,Georgia Tech,Offensive Backfield
