,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
0,1961,35,Minnesota Vikings,NFL,14,3,11,0,.214,-6.6,0.1,-6.8,,,,,7,
1,1962,36,Minnesota Vikings,NFL,14,2,11,1,.154,-6.7,-0.8,-6.0,,,,,6,
2,1963,37,Minnesota Vikings,NFL,14,5,8,1,.385,-5.4,1.7,-7.1,,,,,4,
3,1964,38,Minnesota Vikings,NFL,14,8,5,1,.615,5.8,4.6,1.1,,,,,2,
4,1965,39,Minnesota Vikings,NFL,14,7,7,0,.500,5.1,7.9,-2.8,,,,,5,
5,1966,40,Minnesota Vikings,NFL,14,4,9,1,.308,2.2,1.9,0.3,,,,,6,
6,1968,42,Atlanta Falcons,NFL,11,2,9,0,.182,-12.0,-6.4,-5.6,,,,,4,
7,1969,43,Atlanta Falcons,NFL,14,6,8,0,.429,2.8,0.3,2.5,,,,,3,
8,1970,44,Atlanta Falcons,NFL,14,4,8,2,.333,-2.3,-3.5,1.2,,,,,3,
9,1971,45,Atlanta Falcons,NFL,14,7,6,1,.538,1.3,0.3,1.0,,,,,3,
10,1972,46,Atlanta Falcons,NFL,14,7,7,0,.500,-1.9,-2.3,0.4,,,,,2,
11,1973,47,Atlanta Falcons,NFL,14,9,5,0,.643,5.9,2.3,3.5,,,,,2,
12,1974,48,Atlanta Falcons,NFL,8,2,6,0,.250,-12.3,-9.7,-2.6,,,,,4,
