Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
1961,MIN,HC,14,13,6,12,14,12,9,12,9,6,8,6,13,8,13,6,5,14,14,14,3,13,14,14,14,1,5,13,8,10,14
1962,MIN,HC,14,13,13,14,13,12,13,14,8,6,14,4,14,11,11,6,13,13,12,14,5,10,10,12,12,6,10,11,11,6,11
1963,MIN,HC,14,8,4,10,10,11,8,5,6,4,3,6,10,11,12,12,3,12,9,12,5,2,7,4,11,1,11,10,12,14,8
1964,MIN,HC,14,4,5,4,5,6,4,4,1,2,5,5,9,12,11,4,3,8,10,6,7,1,5,2,9,8,4,13,10,5,14
1965,MIN,HC,14,6,11,9,4,4,4,9,1,2,3,3,14,8,8,9,1,6,7,14,11,3,9,10,11,12,5,6,13,8,10
1966,MIN,HC,15,12,13,9,3,4,9,7,1,3,5,9,8,6,7,7,7,7,5,8,15,5,7,10,9,14,4,2,2,15,5
1968,ATL,HC,16,15,13,16,16,16,16,13,15,15,11,15,11,14,14,16,13,15,16,15,12,16,16,12,11,5,10,15,16,14,16
1969,ATL,HC,16,9,2,8,13,13,11,7,5,3,13,1,14,16,14,9,3,13,9,6,1,14,14,8,11,1,7,7,3,7,6
1970,ATL,HC,26,20,16,19,22,23,22,17,17,15,24,15,22,20,23,9,13,23,11,10,11,22,15,18,9,5,6,8,3,14,17
1971,ATL,HC,26,11,11,13,12,15,13,14,7,16,12,23,11,24,11,9,13,1,8,13,12,24,21,23,18,6,9,1,1,15,2
1972,ATL,HC,26,13,15,16,13,16,16,15,9,9,11,10,22,22,20,16,8,12,7,14,12,19,17,20,14,10,1,2,7,15,8
1973,ATL,HC,26,9,9,8,7,15,7,13,9,10,2,15,22,16,12,13,3,13,6,9,7,20,18,13,15,16,7,3,5,3,2
1974,ATL,HC,26,24,26,26,26,26,26,26,25,21,26,17,26,19,26,26,26,26,15,16,18,26,26,22,18,17,1,2,8,16,5
