Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
2012,46,TAM,NFL,16,7,9,0,.438,0.0,1.3,-1.3,,,,,4,5,2,
2013,47,TAM,NFL,16,4,12,0,.250,-2.7,-2.9,0.3,,,,,4,2,0,
