,Year,Age,Level,Employer,Role
0,1989,23,College,Rutgers,Graduate Assistant
1,1990,24,College,Penn State,Graduate Assistant
2,1991,25,College,Penn State,Secondary
3,1992,26,College,Penn State,Secondary
4,1993,27,College,Penn State,Secondary
5,1994,28,College,Penn State,Secondary
6,1995,29,College,Penn State,Secondary
7,1996,30,NFL,Chicago Bears,Defensive Assistant
8,1997,31,NFL,Chicago Bears,Defensive Assistant
9,1998,32,NFL,Chicago Bears,Secondary
10,1999,33,College,Miami-FL,Defensive Coordinator
11,2000,34,College,Miami-FL,Defensive Coordinator
12,2001,35,College,Rutgers,Head Coach
13,2002,36,College,Rutgers,Head Coach
14,2003,37,College,Rutgers,Head Coach
15,2004,38,College,Rutgers,Head Coach
16,2005,39,College,Rutgers,Head Coach
17,2006,40,College,Rutgers,Head Coach
18,2007,41,College,Rutgers,Head Coach
19,2008,42,College,Rutgers,Head Coach
20,2009,43,College,Rutgers,Head Coach
21,2010,44,College,Rutgers,Head Coach
22,2011,45,College,Rutgers,Head Coach
23,2012,46,NFL,Tampa Bay Buccaneers,Head Coach
24,2013,47,NFL,Tampa Bay Buccaneers,Head Coach
25,2016,50,College,Ohio State,Assistant Head Coach/DC
26,2017,51,College,Ohio State,Assistant Head Coach/DC
27,2018,52,College,Ohio State,Assistant Head Coach/DC
28,2020,54,College,Rutgers,Head Coach
29,2021,55,College,Rutgers,Head Coach
30,2022,56,College,Rutgers,Head Coach
31,2023,57,College,Rutgers,Head Coach
32,2024,58,College,Rutgers,Head Coach
33,2025,59,College,Rutgers,Head Coach
