Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
1933,CRD,HC,10,10,8,7,8,9,9,8,8,8,10,8,1,8,9,7,8,10,6,7,9,7,6,7,5,1,5,5,3,9,6
1934,CRD,HC,11,6,5,7,6,10,8,2,9,8,7,7,1,7,11,10,2,11,1,3,9,2,1,3,1,1,1,5,7,9,9
1935,BKN,HC,9,6,2,6,8,8,7,4,8,8,5,4,1,6,8,6,4,9,8,7,2,8,7,6,7,1,2,7,5,4,9
1936,BKN,HC,9,7,5,6,8,9,7,4,9,8,4,3,1,9,8,9,4,8,5,6,5,9,7,5,4,4,4,2,3,5,4
