Year,Age,Level,Employer,Role
1913,20,High School,Hastings HS (Hastings NE),Head Coach
1914,21,High School,Hastings HS (Hastings NE),Head Coach
1915,22,College,Doane,Head Coach
1916,23,College,St. Viator,Head Coach
1918,25,College,Nebraska,Assistant Coach
1919,26,College,Nebraska,Assistant Coach
1920,27,College,Nebraska,Assistant Coach
1921,28,College,Lombard,Head Coach
1922,29,College,Lombard,Head Coach
1923,30,College,Lombard,Head Coach
1924,31,College,Oregon State,Head Coach
1925,32,College,Oregon State,Head Coach
1926,33,College,Oregon State,Head Coach
1927,34,College,Oregon State,Head Coach
1928,35,College,Oregon State,Head Coach
1929,36,College,Oregon State,Head Coach
1930,37,College,Oregon State,Head Coach
1931,38,College,Oregon State,Head Coach
1932,39,College,Oregon State,Head Coach
1933,40,NFL,Chicago Cardinals,Head Coach
1934,41,NFL,Chicago Cardinals,Head Coach
1935,42,NFL,Brooklyn Dodgers,Head Coach
1936,43,NFL,Brooklyn Dodgers,Head Coach
1939,46,PCFL,Hollywood Bears,Head Coach
1940,47,PCFL,Hollywood Bears,Head Coach
1941,48,PCFL,Hollywood Bears,Head Coach
1942,49,Military,March Field,Head Coach
1943,50,Military,March Field,Head Coach
1944,51,Military,March Field,Head Coach
1945,52,PCFL,Hollywood Bears,Head Coach
