Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
1992,GNB,DC,28,12,15,14,16,15,17,18,18,21,23,22,27,5,9,8,6,17,23,15,10,6,16,14,26,4,15,23,8,21,23
1993,GNB,DC,28,9,17,7,12,19,6,18,16,22,3,19,4,11,18,11,24,17,2,9,11,11,8,1,11,8,19,7,7,12,1
1994,SFO,DC,28,1,3,1,1,2,1,5,5,6,2,7,15,18,4,1,3,1,8,6,5,2,2,23,8,14,24,17,3,1,6
1995,PHI,HC,30,6,11,18,13,25,21,24,2,4,3,6,26,26,29,28,19,29,4,15,3,21,19,16,15,3,3,2,1,8,4
1996,PHI,HC,30,6,17,12,3,4,9,17,5,9,5,14,20,12,4,17,15,5,5,21,15,8,10,14,13,18,5,6,10,14,11
1997,PHI,HC,30,20,24,22,7,5,19,20,9,10,18,10,24,4,6,9,16,17,13,24,19,22,25,22,22,18,5,7,11,18,9
1998,PHI,HC,30,28,26,29,27,30,30,13,21,14,19,8,7,12,30,30,18,30,17,19,30,27,27,25,27,21,2,1,8,29,9
1999,GNB,HC,31,12,9,15,16,9,10,26,27,21,10,18,18,2,7,9,28,12,19,20,3,25,22,25,12,7,14,18,11,4,26
2000,WAS,DC,31,17,16,16,6,11,24,21,15,19,12,20,14,12,10,19,25,10,4,7,11,15,22,6,21,7,4,2,4,13,5
2001,DEN,DC,31,14,6,15,14,22,10,9,6,10,30,19,3,20,25,8,18,26,8,21,5,7,6,7,9,6,13,16,20,6,18
2002,DEN,DC,32,11,21,8,1,3,7,11,11,5,5,3,4,14,8,18,23,8,6,15,29,3,4,32,9,12,24,17,2,30,8
2003,SEA,DC,32,8,18,10,13,6,7,17,13,10,7,10,22,13,7,5,12,6,19,15,14,19,14,4,9,13,30,27,26,12,14
2004,SEA,DC,32,10,9,16,15,8,12,14,13,8,5,6,5,14,13,13,20,14,26,22,6,19,23,25,24,13,31,23,19,3,14
2005,SEA,DC,32,2,7,2,3,2,1,2,7,3,1,2,2,23,13,5,3,5,16,7,18,10,5,2,5,17,29,25,9,14,13
