Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
2011,46,CLE,NFL,16,4,12,0,.250,-5.4,-7.2,1.8,,,,,4,5,3,
2012,47,CLE,NFL,16,5,11,0,.313,-5.3,-4.6,-0.7,,,,,4,7,3,
2015,50,PHI,NFL,1,1,0,0,1.000,-4.6,-0.6,-4.0,,,,,2,0,0,Interim head coach for Week 17
2018,53,NYG,NFL,16,5,11,0,.313,-2.2,0.8,-2.9,,,,,4,5,2,
2019,54,NYG,NFL,16,4,12,0,.250,-7.9,-1.8,-6.1,,,,,3,7,0,
