Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
2020,LAR,DC,32,12,21,10,1,11,22,25,7,10,10,17,24,12,13,26,23,16,1,1,10,4,3,4,3,15,15,1,1,12,1
2021,LAC,HC,32,14,19,16,9,4,5,13,22,21,9,17,9,3,2,5,21,10,23,29,17,27,30,29,28,8,9,12,16,22,22
2022,LAC,HC,32,8,7,11,13,9,13,4,28,30,16,30,14,2,3,12,7,14,20,21,12,15,28,21,32,11,3,7,18,12,20
2023,LAC,HC,32,28,16,23,24,18,21,16,24,25,20,27,27,3,13,16,2,19,28,24,21,18,17,26,13,5,23,30,24,25,28
