,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
0,2021,39,LAC,NFL,17,9,8,0,.529,1.1,5.3,-4.2,,,,,3,5,2,
1,2022,40,LAC,NFL,17,10,7,0,.588,-0.9,0.1,-1.0,1,0,1,.000,2,3,2,
2,2023,41,LAC,NFL,7,3,4,0,.429,0.7,2.5,-1.8,,,,,2,8,4,
