Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
1963,SDG,OC,8,1,2,1,1,1,1,1,4,1,2,1,1,8,3,3,3,1,4,1,3,4,3,1,2,4,6,5,1,3,3
1965,HOU,HC,8,7,5,8,8,6,5,7,8,7,6,6,2,1,2,1,8,8,8,8,3,8,8,7,8,4,1,3,8,3,5
