Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
1997,JAX,OC,30,5,6,6,9,7,3,2,11,18,2,18,9,21,4,14,1,1,23,15,13,17,13,12,11,7,18,24,22,18,22
1998,JAX,OC,30,6,5,11,20,10,8,3,9,5,3,4,7,27,20,10,3,9,25,17,13,14,22,8,26,5,28,23,17,21,17
1999,CLE,HC,31,31,28,31,31,31,31,13,31,31,20,20,24,28,29,19,7,29,31,29,29,31,31,31,30,16,13,11,4,31,19
2000,CLE,HC,31,29,19,31,31,31,31,13,31,30,26,30,2,24,30,30,20,30,26,27,20,31,29,30,19,13,7,12,11,25,17
2002,HOU,OC,32,29,26,29,32,32,32,16,21,31,31,32,20,32,32,32,12,32,16,20,30,32,28,11,14,17,6,10,18,26,11
2003,HOU,OC,32,23,25,29,32,31,28,12,22,23,14,21,7,31,29,28,18,21,31,27,25,30,31,23,22,27,11,31,21,20,32
2004,HOU,OC,32,18,13,20,22,19,21,11,10,12,6,23,14,24,18,26,11,16,23,15,13,7,13,1,23,28,24,24,30,5,24
2005,HOU,OC,32,32,25,31,31,30,26,10,19,15,25,11,12,28,30,26,7,32,31,32,32,28,32,29,30,27,4,24,26,31,31
2011,TEN,OC,32,10,13,17,20,17,21,9,30,31,26,29,10,8,12,11,12,14,18,8,20,23,24,6,22,4,26,14,9,24,5
2012,TEN,OC,32,23,22,28,30,26,23,24,26,21,21,10,23,19,22,27,18,23,27,32,16,28,24,24,15,28,19,26,29,7,20
