,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
0,1998,46,DAL,NFL,16,10,6,0,.625,3.5,0.9,2.6,1,0,1,.000,1,,,
1,1999,47,DAL,NFL,16,8,8,0,.500,3.1,-0.3,3.4,1,0,1,.000,2,2,0,
2,2010,58,BUF,NFL,16,4,12,0,.250,-4.6,-1.5,-3.1,,,,,4,7,4,
3,2011,59,BUF,NFL,16,6,10,0,.375,-3.4,1.2,-4.5,,,,,4,5,2,
4,2012,60,BUF,NFL,16,6,10,0,.375,-6.7,-0.9,-5.8,,,,,4,3,0,
