Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
1989,DEN,OC,28,3,3,2,7,15,8,9,3,6,10,18,5,22,23,12,15,16,3,1,2,6,6,7,7,2,11,3,1,9,3
1990,DEN,OC,28,23,24,19,16,8,16,13,12,14,4,13,10,9,7,21,13,16,20,23,25,17,17,20,19,13,13,21,19,26,23
1996,PIT,OC,30,6,7,6,5,15,11,21,2,2,3,6,20,30,27,24,17,13,2,4,2,5,3,5,2,2,21,5,6,4,2
1997,PIT,OC,30,5,14,8,5,6,7,23,1,1,3,8,19,26,23,9,22,7,6,11,4,3,1,1,1,10,24,18,22,6,12
1998,DAL,HC,30,8,3,6,11,8,9,1,6,8,2,14,5,26,9,20,1,5,18,3,19,8,12,10,17,13,24,22,11,19,21
1999,DAL,HC,31,12,6,5,9,16,11,5,6,6,5,8,8,26,24,17,2,16,9,5,10,13,6,2,4,25,16,13,7,6,15
2000,MIA,OC,31,5,5,8,20,26,16,9,8,14,7,23,2,31,27,24,18,16,6,3,4,10,14,6,18,13,14,5,5,1,4
2001,MIA,OC,31,6,26,9,12,21,8,27,8,23,9,29,30,29,19,12,18,4,5,11,16,17,17,7,14,20,3,1,19,14,10
2008,KAN,OC,32,30,8,29,27,24,26,13,29,16,28,4,6,9,20,8,21,26,31,29,9,29,30,29,31,2,18,28,18,17,28
2010,BUF,HC,32,29,32,30,27,25,28,31,25,18,32,13,32,19,24,17,25,29,24,28,25,32,32,27,32,13,2,3,26,28,19
2011,BUF,HC,32,23,13,22,19,14,14,25,27,13,16,5,1,10,15,10,31,15,26,30,5,24,28,30,27,7,8,19,29,6,26
2012,BUF,HC,32,23,27,25,22,19,21,28,13,6,13,4,29,23,25,13,22,20,22,26,23,25,31,32,30,20,11,10,17,20,14
2015,NYJ,OC,32,8,8,8,4,10,11,17,10,10,16,14,7,15,13,8,23,15,4,9,3,4,2,1,3,9,23,13,15,5,7
2016,NYJ,OC,32,26,31,29,23,26,30,31,13,12,22,14,13,23,27,28,32,24,11,28,28,23,11,10,4,24,8,17,25,29,24
2020,MIA,OC,32,12,3,11,24,22,15,16,16,22,19,29,11,18,20,22,17,20,20,6,1,10,16,18,18,4,13,23,2,1,24
