Year,Age,Level,Employer,Role
1984,23,College,Michigan,Graduate Assistant
1985,24,College,Michigan,Graduate Assistant
1986,25,College,Michigan,Wide Receivers
1987,26,College,Michigan,Wide Receivers
1988,27,College,Michigan,Wide Receivers
1989,28,College,Michigan,Wide Receivers
1990,29,College,Michigan,Quarterbacks/Wide Receivers
1991,30,College,Michigan,Quarterbacks/Wide Receivers
1992,31,College,Michigan,Quarterbacks/Wide Receivers
1993,32,College,Michigan,Quarterbacks/Wide Receivers
1994,33,NFL,Washington Redskins,Quarterbacks
1995,34,NFL,Washington Redskins,Quarterbacks
1996,35,NFL,Washington Redskins,Quarterbacks
1997,36,College,Indiana,Head Coach
1998,37,College,Indiana,Head Coach
1999,38,College,Indiana,Head Coach
2000,39,College,Indiana,Head Coach
2001,40,College,Indiana,Head Coach
2002,41,NFL,San Diego Chargers,Offensive Coordinator
2003,42,NFL,San Diego Chargers,Offensive Coordinator
2004,43,NFL,San Diego Chargers,Offensive Coordinator
2005,44,NFL,San Diego Chargers,Offensive Coordinator
2006,45,NFL,San Diego Chargers,Offensive Coordinator
2007,46,NFL,Miami Dolphins,Head Coach
2008,47,NFL,Baltimore Ravens,Offensive Coordinator
2009,48,NFL,Baltimore Ravens,Offensive Coordinator
2010,49,NFL,Baltimore Ravens,Offensive Coordinator
2011,50,NFL,Baltimore Ravens,Offensive Coordinator
2012,51,NFL,Baltimore Ravens,Offensive Coordinator
2013,52,College,Louisiana State,Offensive Coordinator/Quarterbacks
2014,53,College,Louisiana State,Offensive Coordinator/Quarterbacks
2015,54,College,Louisiana State,Offensive Coordinator/Quarterbacks
2016,55,College,Louisiana State,Offensive Coordinator/Quarterbacks
