Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
2022,47,NYG,NFL,17,9,7,1,.559,-0.4,-0.8,0.4,2,1,1,.500,3,3,3,
2023,48,NYG,NFL,17,6,11,0,.353,-7.9,-6.9,-1.0,,,,,3,7,4,
2024,49,NYG,NFL,17,3,14,0,.176,-8.0,-7.5,-0.5,,,,,4,3,2,
