Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
2009,CLE,OC,32,25,29,27,32,32,29,22,6,8,20,15,26,30,32,31,20,32,31,21,31,28,28,19,29,26,15,29,14,29,26
2010,CLE,OC,32,27,15,23,28,29,31,17,22,20,12,21,17,28,29,30,19,24,22,13,13,29,27,4,12,20,8,18,24,8,27
2011,MIA,OC,32,23,24,14,22,22,20,18,6,11,19,15,24,28,23,18,8,18,15,6,26,11,3,3,3,32,25,25,16,16,18
2012,KAN,OC,32,31,31,32,27,24,32,30,5,5,25,6,29,29,32,32,31,31,20,25,31,27,27,12,25,25,1,12,26,31,30
2018,BUF,OC,32,22,23,28,18,30,30,30,6,9,11,21,15,28,31,32,31,31,2,18,8,22,16,25,10,7,2,1,8,7,3
2019,BUF,OC,32,8,10,10,9,24,23,11,6,8,18,14,5,24,26,24,15,21,3,2,10,7,10,9,18,14,16,4,2,8,3
2020,BUF,OC,32,2,10,5,8,2,2,20,17,20,15,20,24,11,3,3,9,4,14,16,3,12,17,27,26,4,22,13,9,7,9
2021,BUF,OC,32,7,7,1,1,5,3,13,13,6,7,6,4,5,9,7,25,15,1,1,3,16,13,26,11,6,3,1,1,3,1
2022,NYG,HC,32,10,11,16,24,18,15,2,8,4,4,5,20,25,26,24,1,27,25,17,25,19,27,20,31,2,17,14,9,31,12
2023,NYG,HC,32,26,1,30,32,29,30,12,16,16,23,18,9,26,31,28,13,30,27,26,1,21,29,30,31,2,20,19,10,3,24
2024,NYG,HC,32,30,26,29,28,30,31,21,25,23,20,18,22,8,28,32,21,30,24,21,28,26,27,18,24,7,3,8,9,31,25
