,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,1983,ATL,HC,28,19,14,18,18,8,10,3,18,11,10,3,15,12,11,13,1,13,25,23,26,11,22,22,27,21,12,20,24,25,26
1,1984,ATL,HC,28,24,23,23,19,19,22,22,14,15,12,13,28,22,20,24,12,19,15,22,20,22,21,18,17,6,3,7,23,27,23
2,1985,ATL,HC,28,26,9,27,23,20,26,3,6,3,17,7,3,23,27,26,8,28,25,28,21,6,17,26,26,25,21,27,27,12,24
3,1986,ATL,HC,28,16,12,16,11,17,21,11,2,3,18,6,13,25,25,24,7,22,7,6,14,15,16,4,18,17,3,7,9,10,22
4,1989,SDG,HC,28,21,16,17,14,21,23,16,19,16,16,6,19,13,22,23,12,22,6,9,8,15,13,13,11,18,14,4,3,5,4
5,1990,SDG,HC,28,17,14,12,7,15,17,13,7,3,12,3,7,15,24,17,16,23,5,10,16,13,5,8,4,20,9,9,19,9,14
6,1991,SDG,HC,28,22,11,22,14,13,21,9,9,2,7,1,4,9,24,20,11,25,19,21,20,12,14,19,13,25,14,22,23,7,24
7,1992,DET,OC,28,21,19,16,20,19,19,18,26,16,19,8,16,27,19,16,18,13,20,20,16,18,17,18,14,23,18,21,16,8,22
8,1993,DET,OC,28,6,11,13,16,24,16,17,11,7,19,7,12,26,24,23,18,16,6,15,7,12,10,17,13,7,15,9,16,9,7
9,1997,BUF,OC,30,22,28,28,16,25,29,28,23,14,16,9,26,11,25,26,29,30,9,23,26,23,15,10,6,28,9,12,8,15,11
10,2000,NYJ,OC,31,13,20,18,11,12,17,29,19,24,21,26,8,1,6,8,30,13,10,13,8,25,23,6,11,11,11,6,9,6,6
11,2002,CAR,OC,32,20,23,23,22,31,30,29,13,25,21,31,27,29,30,30,25,27,2,5,7,19,8,6,1,7,11,4,7,15,4
12,2003,CAR,OC,32,7,25,16,11,16,15,20,3,7,24,17,25,28,18,16,12,9,8,10,18,9,11,6,12,23,20,9,13,12,8
13,2004,CAR,OC,32,18,4,12,19,13,13,12,22,28,19,28,14,11,9,5,13,12,20,15,2,21,17,28,12,13,16,18,7,1,21
14,2005,CAR,OC,32,5,3,4,11,22,8,13,10,19,8,29,10,28,17,5,17,6,3,5,2,6,4,4,4,2,21,9,2,4,4
15,2006,CAR,OC,32,13,23,20,14,24,27,16,24,24,28,19,10,10,15,17,17,20,7,8,28,16,11,7,9,28,9,4,20,22,9
16,2008,MIA,OC,32,6,1,16,18,12,21,1,12,11,9,15,3,21,10,16,2,8,15,9,5,4,10,8,18,10,26,25,9,8,17
17,2009,MIA,OC,32,21,26,20,20,17,15,19,3,4,1,10,11,14,20,27,23,23,22,25,27,17,18,21,15,29,3,24,18,16,29
18,2010,MIA,OC,32,17,30,22,11,21,30,21,11,21,29,30,13,13,16,27,25,21,6,14,29,23,7,7,4,24,5,8,9,28,20
