Year,Age,Level,Employer,Role
1959,38,College,Coast Guard Academy,Head Coach
1960,39,College,Coast Guard Academy,Head Coach
1961,40,College,Coast Guard Academy,Head Coach
1962,41,College,Coast Guard Academy,Head Coach
1963,42,College,Coast Guard Academy,Head Coach
1964,43,College,Coast Guard Academy,Head Coach
1965,44,College,Coast Guard Academy,Head Coach
1966,45,NFL,Washington Redskins,Head Coach
1967,46,NFL,Washington Redskins,Head Coach
1968,47,NFL,Washington Redskins,Head Coach
1974,53,College,Coast Guard Academy,Head Coach
1975,54,College,Coast Guard Academy,Head Coach
