,Year,Lg,Tm,W,L,T,Div. Finish,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts Def Rank,Yds Def Rank,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
0,1928,NFL,New York Yankees,4,8,1,7th of 10,,103,179,-76,Rauch,,,,,6,1,8,1,1,7,1,10,-5.8,2.7,-3.2,-0.4,-2.8
1,1927,NFL,New York Yankees,7,8,1,6th of 12,,142,174,-32,Scott,,,,,5,1,8,1,1,7,1,12,-2.0,5.3,3.3,2.3,1.0
