Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
1948,53,DET,NFL,12,2,10,0,.167,-13.4,-3.6,-9.8,,,,,5,
1949,54,DET,NFL,12,4,8,0,.333,-0.7,-2.3,1.7,,,,,4,
1950,55,DET,NFL,12,6,6,0,.500,-1.6,0.1,-1.7,,,,,4,
1951,56,PHI,NFL,2,2,0,0,1.000,-1.5,-0.4,-1.2,,,,,5,
