,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,1978,NWE,HC,28,4,17,5,2,1,4,22,1,1,1,1,21,17,9,18,19,1,9,13,8,5,4,9,6,3,11,21,23,13,21
1,,NWE,DC,28,4,17,5,2,1,4,22,1,1,1,1,21,17,9,18,19,1,9,13,8,5,4,9,6,3,11,21,23,13,21
2,1979,NWE,DC,28,11,9,3,3,8,2,15,6,15,15,22,11,13,8,1,16,10,3,15,6,3,5,20,7,3,15,8,3,17,3
3,1980,CIN,DC,28,19,4,21,12,19,27,7,15,12,25,8,2,10,21,19,17,25,9,14,7,6,4,10,3,2,14,13,15,18,14
4,1981,CIN,DC,28,2,4,2,5,2,3,1,18,17,7,17,2,5,3,2,1,3,12,12,16,3,9,8,16,12,25,22,20,16,10
5,1982,CIN,DC,28,3,7,9,7,2,4,2,16,20,3,23,3,7,3,9,3,2,18,15,20,1,3,12,12,25,23,22,17,9,21
6,1983,CIN,DC,28,19,8,8,1,14,16,6,8,16,2,19,9,21,14,25,5,7,1,6,13,3,2,18,2,17,16,3,3,12,2
7,1985,BUF,HC,28,27,28,28,24,25,28,28,27,24,20,16,24,11,21,28,28,23,17,20,18,27,26,22,22,17,4,11,21,16,18
8,,BUF,DC,28,27,28,28,24,25,28,28,27,24,20,16,24,11,21,28,28,23,17,20,18,27,26,22,22,17,4,11,21,16,18
9,1986,BUF,HC,28,24,28,23,22,19,20,19,25,21,23,13,24,19,15,9,10,11,24,20,28,10,9,23,8,28,24,27,11,27,23
10,1988,GNB,DC,28,26,25,23,17,24,26,27,27,26,16,24,28,3,13,23,24,25,7,11,4,20,20,17,18,1,5,5,1,12,6
11,1989,GNB,DC,28,6,9,14,9,6,8,12,26,20,16,5,9,3,5,5,15,12,16,18,5,13,19,16,26,13,6,13,17,5,23
12,1990,GNB,DC,28,17,27,24,24,20,23,26,25,26,27,17,27,5,8,14,20,22,22,18,16,19,20,20,21,15,13,22,11,17,25
13,1991,GNB,DC,28,22,23,20,20,24,22,19,24,22,15,19,21,6,19,12,18,23,10,18,19,19,7,11,2,14,20,17,19,18,8
14,1993,DET,DC,28,6,11,13,16,24,16,17,11,7,19,7,12,26,24,23,18,16,6,15,7,12,10,17,13,7,15,9,16,9,7
