,Year,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
0,2023,126,2146,464,4.6,16,3,146,167,262,1586,8,13,5.6,92,180,560,4,3.1,33,44,392,21,79,29.1,20.3,Own 29.0,2:48,6.05,27.2,1.48,89,29,32.6,12,8,66.7,25,11,44.0
1,2022,395,5993,1049,5.7,21,4,343,359,586,3934,28,17,6.3,193,428,2059,12,4.8,122,113,932,28,172,42.4,12.2,Own 26.6,3:02,6.30,34.7,2.18,208,83,39.9%,24,13,54.2%,48,23,47.9%
2,2021,374,6184,1082,5.7,24,10,349,429,628,4567,23,14,6.8,217,414,1617,14,3.9,95,124,1104,37,188,41.0,12.8,Own 28.0,2:48,5.98,32.8,2.02,206,77,37.4%,19,12,63.2%,60,31,51.7%
3,2020,434,6133,1036,5.9,26,16,359,369,551,4217,28,10,7.3,206,457,1916,20,4.2,121,98,856,32,169,47.9,14.8,Own 29.5,2:56,6.34,36.2,2.57,198,91,46.0%,21,16,76.2%,59,32,54.2%
4,2019,313,5819,989,5.9,17,9,315,367,523,3926,22,8,7.1,194,437,1893,13,4.3,104,128,1138,17,165,32.7,9.7,Own 27.2,3:00,6.15,35.1,1.83,201,88,43.8%,19,11,57.9%,53,28,52.8%
5,2018,290,5379,995,5.4,24,14,300,382,556,3751,19,10,6.2,197,387,1628,9,4.2,86,110,965,17,176,31.3,13.6,Own 26.8,2:49,5.85,30.5,1.57,197,73,37.1%,16,7,43.8%,43,23,53.5%
6,2017,301,5185,952,5.4,28,14,287,347,558,3631,23,14,6.2,178,370,1554,13,4.2,78,114,1009,31,178,29.2,15.2,Own 28.3,2:36,5.49,29.1,1.69,204,82,40.2,24,8,33.3,34,20,58.8
7,2016,416,5973,1048,5.7,14,7,333,379,596,4051,29,7,6.6,198,434,1922,17,4.4,98,147,1247,37,194,38.7,7.2,Own 31.7,2:37,5.58,30.7,2.11,218,83,38.1%,13,6,46.2%,56,32,57.1%
8,2015,359,5336,1008,5.3,24,10,300,373,605,3879,34,14,6.1,193,370,1457,7,3.9,74,139,1102,33,195,31.8,10.3,Own 29.4,2:25,5.30,27.3,1.79,220,86,39.1%,13,5,38.5%,41,25,61.0%
9,2014,253,4515,994,4.5,29,13,248,365,629,3275,22,16,5.0,173,337,1240,4,3.7,56,116,939,19,198,22.7,13.6,Own 24.2,2:17,5.13,22.6,1.21,236,80,33.9%,15,9,60.0%,29,21,72.4%
10,2013,322,5340,1000,5.3,31,11,275,298,519,3340,17,20,5.9,168,437,2000,16,4.6,90,116,912,17,194,27.8,14.9,Own 26.5,2:28,5.31,27.4,1.52,223,78,35.0%,12,7,58.3%,42,25,59.5%
11,2012,290,5504,1032,5.3,26,10,300,376,629,4084,24,16,6.2,200,376,1420,4,3.8,72,108,939,28,188,31.4,12.8,Own 26.0,2:31,5.67,29.0,1.54,220,77,35.0%,16,4,25.0%,42,18,42.9%
12,2011,359,6072,1015,6.0,30,7,328,315,524,3962,20,23,7.2,186,466,2110,16,4.5,110,163,1358,32,193,34.7,15.5,Own 27.2,2:29,5.44,31.4,1.79,199,71,35.7%,13,7,53.8%,47,24,51.1%
13,2010,410,5674,1039,5.5,26,10,306,279,491,3180,18,16,5.9,159,504,2494,19,4.9,113,148,1276,34,203,34.5,11.8,Own 28.8,2:27,5.32,27.9,1.76,220,75,34.1%,20,8,40.0%,48,25,52.1%
14,2009,197,4258,944,4.5,33,15,234,255,485,2557,10,18,4.8,131,410,1701,7,4.1,81,117,920,22,194,22.2,16.5,Own 27.1,2:20,5.02,21.9,1.02,213,63,29.6%,21,10,47.6%,29,12,41.4%
15,2008,263,4356,919,4.7,23,12,225,222,421,2369,13,11,5.2,123,459,1987,9,4.3,87,109,823,15,187,24.6,11.8,Own 30.3,2:26,5.07,23.0,1.21,214,61,28.5%,21,9,42.9%,37,15,40.5%
16,2007,283,4717,1000,4.7,37,17,267,260,451,2631,17,20,5.3,133,508,2086,11,4.1,111,120,864,23,191,26.7,17.3,Own 29.6,2:38,5.40,24.6,1.39,229,82,35.8%,24,10,41.7%,35,21,60.0%
17,2006,168,3939,949,4.2,46,22,243,263,483,2420,7,24,4.4,144,394,1519,5,3.9,73,111,847,26,180,16.7,25.0,Own 30.9,2:30,5.41,21.6,0.77,212,77,36.3%,21,7,33.3%,35,10,28.6%
18,2005,290,4951,997,5.0,23,9,294,316,591,3582,21,14,5.6,189,361,1369,11,3.8,80,147,1132,25,183,28.4,11.5,Own 29.3,2:27,5.62,27.0,1.55,214,85,39.7%,14,7,50.0%,45,21,46.7%
19,2004,320,5153,939,5.5,35,13,275,330,582,3858,24,22,6.3,176,327,1295,10,4.0,75,134,1013,24,184,32.1,17.4,Own 30.4,2:20,5.26,27.9,1.70,200,71,35.5%,14,7,50.0%,41,20,48.8%
20,2003,270,4573,987,4.6,26,12,258,278,521,2751,9,14,4.9,140,423,1822,15,4.3,98,134,1120,20,189,24.3,12.2,Own 31.0,2:23,5.36,24.1,1.24,217,66,30.4%,25,14,56.0%,34,15,44.1%
21,2002,450,6237,1069,5.8,19,9,366,418,619,4475,26,10,6.8,226,414,1762,21,4.3,113,129,1094,27,171,42.7,9.4,Own 31.2,2:58,6.44,36.4,2.38,203,92,45.3%,10,7,70.0%,60,34,56.7%
22,2001,399,5361,1030,5.2,25,16,316,364,553,3707,27,9,6.4,195,450,1654,14,3.7,102,107,897,19,185,36.2,10.8,Own 33.1,2:42,5.75,28.9,1.97,209,81,38.8%,13,8,61.5%,59,33,55.9%
23,2000,479,5776,1023,5.6,20,9,337,284,475,3306,28,11,6.6,177,520,2470,23,4.8,128,118,940,32,189,39.2,10.6,Own 33.9,2:43,5.59,30.6,2.25,206,89,43.2%,8,3,37.5%,65,38,58.5%
24,1999,390,5693,1057,5.4,29,15,326,306,520,3609,24,14,6.3,196,488,2084,18,4.3,110,98,825,20,194,34.5,12.9,Own 32.3,2:40,5.64,29.3,1.90,216,85,39.4%,8,7,87.5%,57,31,54.4%
25,1998,288,4815,1035,4.7,43,18,273,282,519,3088,21,25,5.3,156,449,1727,6,3.8,89,127,986,28,,,,,,,,,,,,,,,,,
26,1997,324,5102,947,5.4,24,14,263,294,529,3514,29,10,6.0,170,360,1588,9,4.4,74,117,976,19,,,,,,,,,,,,,,,,,
27,1996,340,5252,1034,5.1,31,12,306,311,533,3078,28,19,5.3,172,456,2174,7,4.8,98,156,1266,36,,,,,,,,,,,,,,,,,
28,1995,348,5505,1042,5.3,34,13,317,317,543,3573,25,21,6.2,189,463,1932,10,4.2,104,134,1059,24,,,,,,,,,,,,,,,,,
29,1994,303,4779,966,4.9,30,14,267,281,488,3267,22,16,6.1,158,428,1512,7,3.5,87,156,1186,22,,,,,,,,,,,,,,,,,
30,1993,306,5014,978,5.1,25,11,292,281,495,3589,17,14,6.6,168,433,1425,10,3.3,95,148,1181,29,,,,,,,,,,,,,,,,,
31,1992,249,4384,953,4.6,38,15,259,233,471,2590,20,23,5.0,139,434,1794,7,4.1,99,113,832,21,,,,,,,,,,,,,,,,,
32,1991,298,4425,893,5.0,31,13,248,220,414,2719,20,18,6.1,132,446,1706,8,3.8,97,117,1013,19,,,,,,,,,,,,,,,,,
33,1990,337,4716,861,5.5,24,14,258,183,336,2688,19,10,7.4,133,496,2028,20,4.1,110,97,682,15,,,,,,,,,,,,,,,,,
34,1989,315,4989,912,5.5,34,12,259,201,414,2951,21,22,6.4,143,454,2038,9,4.5,93,132,1105,23,,,,,,,,,,,,,,,,,
35,1988,325,4961,1035,4.8,33,13,283,219,496,3109,21,20,5.7,145,493,1852,15,3.8,116,102,762,22,,,,,,,,,,,,,,,,,
36,1987,301,5267,985,5.3,31,13,300,247,457,3070,19,18,6.0,158,475,2197,13,4.6,107,114,1048,35,,,,,,,,,,,,,,,,,
37,1986,323,5299,1069,5.0,49,24,302,281,530,3509,27,25,5.9,186,475,1790,6,3.8,97,114,951,19,,,,,,,,,,,,,,,,,
38,1985,354,5408,1081,5.0,38,14,304,269,506,3146,20,24,5.7,167,532,2262,18,4.3,111,116,962,26,,,,,,,,,,,,,,,,,
39,1984,368,5244,1061,4.9,48,20,301,266,491,3358,21,28,6.2,162,516,1886,19,3.7,114,143,1209,25,,,,,,,,,,,,,,,,,
40,1983,442,5686,1101,5.2,49,25,356,301,504,3446,31,24,6.2,181,542,2240,18,4.1,143,121,992,32,,,,,,,,,,,,,,,,,
41,1982,260,2955,582,5.1,24,9,175,154,267,1875,14,15,6.5,95,292,1080,15,3.7,65,86,840,15,,,,,,,,,,,,,,,,,
42,1981,273,4977,1091,4.6,48,20,296,267,545,2919,18,28,4.9,166,493,2058,11,4.2,108,101,867,22,,,,,,,,,,,,,,,,,
43,1980,364,5045,1044,4.8,44,20,281,235,456,2899,23,24,5.8,149,541,2146,14,4.0,108,98,929,24,,,,,,,,,,,,,,,,,
44,1979,365,5174,1040,5.0,38,15,321,311,513,3411,27,23,6.2,191,491,1763,13,3.6,102,119,1024,28,,,,,,,,,,,,,,,,,
45,1978,311,4913,1049,4.7,43,12,309,251,433,2727,16,31,5.8,164,577,2186,18,3.8,116,108,948,29,,,,,,,,,,,,,,,,,
46,1977,351,4736,1030,4.6,40,16,305,184,324,2109,21,24,6.0,125,681,2627,20,3.9,156,89,747,24,,,,,,,,,,,,,,,,,
47,1976,350,5190,946,5.5,29,11,303,232,361,2905,33,18,7.5,146,557,2285,14,4.1,137,107,957,20,,,,,,,,,,,,,,,,,
48,1975,375,4964,1019,4.9,48,20,315,196,350,2391,19,28,6.4,139,643,2573,28,4.0,159,101,951,17,,,,,,,,,,,,,,,,,
49,1974,355,4718,920,5.1,28,10,284,186,335,2384,28,18,6.6,137,561,2334,15,4.2,127,92,845,20,,,,,,,,,,,,,,,,,
50,1973,292,4773,945,5.1,34,16,288,205,353,2263,16,18,5.7,139,547,2510,14,4.6,129,82,759,20,,,,,,,,,,,,,,,,,
51,1972,365,4745,915,5.2,32,17,297,198,370,2369,23,15,6.0,122,521,2376,20,4.6,145,84,757,30,,,,,,,,,,,,,,,,,
52,1971,344,4258,845,5.0,39,13,258,174,348,2128,21,26,5.7,110,473,2130,19,4.5,128,81,869,20,,,,,,,,,,,,,,,,,
53,1970,300,4829,908,5.3,30,9,270,210,418,2865,28,21,6.6,139,471,1964,7,4.2,107,92,1021,24,,,,,,,,,,,,,,,,,
54,1969,377,5036,910,5.5,33,7,261,227,439,3271,36,26,7.3,153,459,1765,4,3.8,84,100,1274,24,,,,,,,,,,,,,,,,,
55,1968,453,5696,968,5.9,39,21,287,237,468,3528,31,18,7.1,162,471,2168,16,4.6,97,81,958,28,,,,,,,,,,,,,,,,,
56,1967,468,5116,962,5.3,36,13,250,236,464,3188,33,23,6.3,154,458,1928,19,4.2,79,71,768,17,,,,,,,,,,,,,,,,,
57,1966,315,4571,847,5.4,38,12,226,212,450,3144,26,26,6.5,144,363,1427,13,3.9,70,80,752,12,,,,,,,,,,,,,,,,,
58,1965,298,3998,854,4.7,26,9,225,195,431,2460,22,17,5.3,134,390,1538,8,3.9,72,69,661,19,,,,,,,,,,,,,,,,,
59,1964,303,4902,908,5.4,51,18,270,253,521,3422,28,33,5.9,186,331,1480,9,4.5,63,74,752,21,,,,,,,,,,,,,,,,,
60,1963,363,4513,857,5.3,38,15,244,191,442,2900,31,23,5.8,142,357,1613,11,4.5,85,93,857,17,,,,,,,,,,,,,,,,,
61,1962,213,3687,857,4.3,49,20,187,175,446,2295,11,29,4.7,100,367,1392,14,3.8,72,69,695,15,,,,,,,,,,,,,,,,,
62,1961,237,3285,818,4.0,44,16,200,209,423,2051,17,28,4.4,116,350,1234,10,3.5,65,53,456,19,,,,,,,,,,,,,,,,,
63,1960,319,4708,938,5.0,46,18,254,235,463,2652,18,28,5.4,138,444,2056,23,4.6,98,71,718,18,,,,,,,,,,,,,,,,,
