,Year,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
0,2022,418,6216,1077,5.8,13,7,360,399,590,4129,25,6,6.7,206,460,2087,20,4.5,126,93,758,28,179,40.8,7.3,Own 29.0,2:52,6.2,34.7,2.23,206,86,41.7%,20,11,55.0%,54,35,64.8%
1,2021,439,5732,1103,5.2,15,9,349,400,606,3789,29,6,5.9,202,462,1943,18,4.2,109,99,1021,38,178,41.6,7.3,Own 26.5,2:57,6.4,32.1,2.30,230,91,39.6%,29,21,72.4%,43,35,81.4%
2,2020,478,6225,1039,6.0,15,5,381,370,580,4212,28,10,7.0,223,438,2013,24,4.6,114,95,915,44,167,50.3,8.4,Own 28.9,2:49,6.5,37.3,2.75,205,100,48.8%,17,14,82.4%,68,42,61.8%
3,2019,419,5677,963,5.9,15,6,344,337,526,4107,33,9,7.4,201,405,1570,15,3.9,91,91,763,52,166,41.0,8.4,Own 25.7,2:48,6.0,34.2,2.39,190,81,42.6%,13,9,69.2%,55,37,67.3%
4,2018,467,6102,973,6.3,17,3,317,299,480,3853,36,14,7.8,178,480,2249,16,4.7,108,117,991,31,174,44.3,9.8,Own 29.9,2:43,5.8,35.1,2.52,201,93,46.3%,12,8,66.7%,62,37,59.7%
5,2017,373,5601,994,5.6,14,9,304,361,530,3858,24,5,6.9,187,433,1743,11,4.0,93,102,944,24,171,40.9,7.0,Own 27.8,2:55,6.1,32.9,2.07,215,88,40.9,10,7,70.0,48,23,47.9
6,2016,385,6001,987,6.1,30,14,318,328,541,4120,27,16,7.3,188,421,1881,18,4.5,94,115,1062,36,190,35.3,14.2,Own 25.2,2:27,5.3,31.7,2.01,198,78,39.4%,15,4,26.7%,57,33,57.9%
7,2015,399,5818,1085,5.4,25,11,344,404,641,4140,25,14,6.1,206,406,1678,12,4.1,94,104,943,44,191,38.2,11.5,Own 27.7,2:36,5.9,30.5,1.92,224,84,37.5%,17,9,52.9%,58,30,51.7%
8,2014,452,5721,1041,5.5,14,5,320,343,538,3810,29,9,6.8,190,481,1911,17,4.0,95,116,941,35,197,39.6,6.6,Own 32.9,2:34,5.5,29.1,2.12,221,85,38.5%,9,4,44.4%,57,30,52.6%
9,2013,453,5819,1029,5.7,22,13,330,374,549,4092,33,9,7.0,202,442,1727,15,3.9,100,87,686,28,189,38.6,9.5,Own 30.6,2:33,5.6,30.8,2.17,211,91,43.1%,6,2,33.3%,62,37,59.7%
10,2012,443,5672,995,5.7,19,8,304,347,526,3775,28,11,6.9,180,444,1897,18,4.3,95,101,925,29,187,41.2,9.1,Own 31.3,2:37,5.5,30.3,2.22,212,83,39.2%,14,8,57.1%,54,30,55.6%
