Year,Week,Day,Date,, Offense,OT, Defense,Opp,Tm,Opp_2,1stD,TotYd,PassY,RushY,TO,1stD_3,TotYd_4,PassY_5,RushY_6,TO_7,Offense,Defense,Sp. Tms
2021,WildCard,Sat,"January 15, 2022",boxscore,L,,@,Cincinnati Bengals,19,26,23,385,282,103,2,18,308,225,83,,,,
2016,WildCard,Sat,"January 7, 2017",boxscore,L,,@,Houston Texans,14,27,16,203,139,64,3,19,291,168,123,,,,
2002,Division,Sun,"January 12, 2003",boxscore,W,,,New York Jets,30,10,20,399,272,127,1,20,287,167,120,4,,,
2002,ConfChamp,Sun,"January 19, 2003",boxscore,W,,,Tennessee Titans,41,24,25,375,286,89,1,28,312,174,138,2,,,
2002,SuperBowl,Sun,"January 26, 2003",boxscore,L,,N,Tampa Bay Buccaneers,21,48,11,269,250,19,5,24,365,215,150,1,,,
2001,WildCard,Sat,"January 12, 2002",boxscore,W,,,New York Jets,38,24,23,502,287,215,,23,410,265,145,2,,,
2001,Division,Sat,"January 19, 2002",boxscore,L,OT,@,New England Patriots,13,16,14,230,153,77,,22,365,297,68,1,,,
2000,Division,Sat,"January 6, 2001",boxscore,W,,,Miami Dolphins,27,0,20,267,127,140,1,10,204,164,40,4,,,
2000,ConfChamp,Sun,"January 14, 2001",boxscore,L,,,Baltimore Ravens,3,16,12,191,167,24,5,12,282,172,110,2,,,
1993,WildCard,Sun,"January 9, 1994",boxscore,W,,,Denver Broncos,42,24,19,427,291,136,,26,387,331,56,1,,,
1993,Division,Sat,"January 15, 1994",boxscore,L,,@,Buffalo Bills,23,29,15,325,215,110,1,25,355,280,75,1,,,
1991,WildCard,Sat,"December 28, 1991",boxscore,L,,@,Kansas City Chiefs,6,10,16,276,124,152,6,16,204,73,131,2,,,
1990,Division,Sun,"January 13, 1991",boxscore,W,,,Cincinnati Bengals,20,10,20,389,154,235,1,12,182,58,124,,,,
1990,ConfChamp,Sun,"January 20, 1991",boxscore,L,,@,Buffalo Bills,3,51,21,320,169,151,7,30,502,300,202,1,,,
1985,Division,Sun,"January 5, 1986",boxscore,L,,,New England Patriots,20,27,17,287,124,163,6,15,254,98,156,2,,,
1984,WildCard,Sat,"December 22, 1984",boxscore,L,,@,Seattle Seahawks,7,13,14,240,135,105,3,17,251,46,205,,,,
1983,Division,Sun,"January 1, 1984",boxscore,W,,,Pittsburgh Steelers,38,10,24,413,225,188,,17,331,169,162,2,,,
1983,ConfChamp,Sun,"January 8, 1984",boxscore,W,,,Seattle Seahawks,30,14,21,401,196,205,4,16,167,102,65,5,,,
1983,SuperBowl,Sun,"January 22, 1984",boxscore,W,,N,Washington Redskins,38,9,18,385,154,231,2,19,283,193,90,3,,,
1982,WildCard,Sat,"January 8, 1983",boxscore,W,,,Cleveland Browns,27,10,25,510,370,140,2,17,284,228,56,1,,,
1982,Division,Sat,"January 15, 1983",boxscore,L,,,New York Jets,14,17,19,339,246,93,5,21,391,252,139,5,,,
1980,WildCard,Sun,"December 28, 1980",boxscore,W,,,Houston Oilers,27,7,12,250,139,111,1,18,275,178,97,3,,,
1980,Division,Sun,"January 4, 1981",boxscore,W,,@,Cleveland Browns,14,12,12,208,132,76,3,17,254,169,85,4,,,
1980,ConfChamp,Sun,"January 11, 1981",boxscore,W,,@,San Diego Chargers,34,27,21,362,224,138,,26,434,351,83,3,,,
1980,SuperBowl,Sun,"January 25, 1981",boxscore,W,,N,Philadelphia Eagles,27,10,17,377,260,117,,19,360,291,69,4,,,
1977,Division,Sat,"December 24, 1977",boxscore,W,OT,@,Baltimore Colts,37,31,28,491,324,167,4,22,301,114,187,,,,
1977,ConfChamp,Sun,"January 1, 1978",boxscore,L,,@,Denver Broncos,17,20,20,298,204,94,3,16,308,217,91,1,,,
1976,Division,Sat,"December 18, 1976",boxscore,W,,,New England Patriots,24,21,20,282,201,81,1,23,331,167,164,3,,,
1976,ConfChamp,Sun,"December 26, 1976",boxscore,W,,,Pittsburgh Steelers,24,7,15,220,63,157,,13,237,165,72,1,,,
1976,SuperBowl,Sun,"January 9, 1977",boxscore,W,,N,Minnesota Vikings,32,14,21,429,163,266,,20,353,282,71,3,,,
1975,Division,Sun,"December 28, 1975",boxscore,W,,,Cincinnati Bengals,31,28,27,358,185,173,2,17,258,161,97,,,,
1975,ConfChamp,Sun,"January 4, 1976",boxscore,L,,@,Pittsburgh Steelers,10,16,18,321,228,93,5,16,332,215,117,7,,,
1974,Division,Sat,"December 21, 1974",boxscore,W,,,Miami Dolphins,28,26,19,411,276,135,1,18,294,81,213,1,,,
1974,ConfChamp,Sun,"December 29, 1974",boxscore,L,,,Pittsburgh Steelers,13,24,15,278,249,29,3,20,305,95,210,3,,,
1973,Division,Sat,"December 22, 1973",boxscore,W,,,Pittsburgh Steelers,33,14,24,361,129,232,,15,223,158,65,3,,,
1973,ConfChamp,Sun,"December 30, 1973",boxscore,L,,@,Miami Dolphins,10,27,15,236,129,107,1,21,292,26,266,1,,,
1972,Division,Sat,"December 23, 1972",boxscore,L,,@,Pittsburgh Steelers,7,13,13,216,78,138,4,13,252,144,108,1,,,
1970,Division,Sun,"December 27, 1970",boxscore,W,,,Miami Dolphins,21,14,12,307,187,120,2,16,242,124,118,1,,,
1970,ConfChamp,Sun,"January 3, 1971",boxscore,L,,@,Baltimore Colts,17,27,16,336,229,107,4,18,363,237,126,,,,
1969,Division,Sun,"December 21, 1969",boxscore,W,,,Houston Oilers,56,7,17,412,302,110,4,14,197,169,28,5,,,
1969,ConfChamp,Sun,"January 4, 1970",boxscore,L,,,Kansas City Chiefs,7,17,18,233,154,79,4,13,207,121,86,4,,,
1968,Division,Sun,"December 22, 1968",boxscore,W,,,Kansas City Chiefs,41,6,22,454,336,118,,13,312,242,70,4,,,
1968,ConfChamp,Sun,"December 29, 1968",boxscore,L,,@,New York Jets,23,27,18,443,393,50,,25,400,256,144,2,,,
1967,ConfChamp,Sun,"December 31, 1967",boxscore,W,,,Houston Oilers,40,7,18,364,101,263,,11,146,108,38,3,,,
1967,SuperBowl,Sun,"January 14, 1968",boxscore,L,,N,Green Bay Packers,14,33,16,293,186,107,3,19,322,162,160,,,,
