Year,Age,Level,Employer,Role
1938,27,College,Ohio State,Assistant Coach
1939,28,College,Ohio State,Assistant Coach
1940,29,College,Ohio State,Assistant Coach
1941,30,College,Denison Univ.,Assistant Coach
1942,31,College,Miami (OH),Assistant Coach
1943,32,College,Miami (OH),Assistant Coach
1944,33,College,Miami (OH),Head Coach
1945,34,College,Miami (OH),Head Coach
1946,35,College,Miami (OH),Head Coach
1947,36,College,Miami (OH),Head Coach
1948,37,College,Army,Assistant Coach
1949,38,College,Cincinnati,Head Coach
1950,39,College,Cincinnati,Head Coach
1951,40,College,Cincinnati,Head Coach
1952,41,College,Cincinnati,Head Coach
1953,42,College,Cincinnati,Head Coach
1954,43,College,Cincinnati,Head Coach
1955,44,NFL,Los Angeles Rams,Head Coach
1956,45,NFL,Los Angeles Rams,Head Coach
1957,46,NFL,Los Angeles Rams,Head Coach
1958,47,NFL,Los Angeles Rams,Head Coach
1959,48,NFL,Los Angeles Rams,Head Coach
1960,49,AFL,Los Angeles Chargers,Head Coach
1961,50,AFL,San Diego Chargers,Head Coach
1962,51,AFL,San Diego Chargers,Head Coach
1963,52,AFL,San Diego Chargers,Head Coach
1964,53,AFL,San Diego Chargers,Head Coach
1965,54,AFL,San Diego Chargers,Head Coach
1966,55,AFL,San Diego Chargers,Head Coach
1967,56,AFL,San Diego Chargers,Head Coach
1968,57,AFL,San Diego Chargers,Head Coach
1969,58,AFL,San Diego Chargers,Head Coach
1971,60,NFL,San Diego Chargers,Head Coach
1972,61,NFL,Dallas Cowboys,Quality Control
1973,62,NFL,Houston Oilers,Head Coach
1974,63,NFL,Houston Oilers,Head Coach
1977,66,NFL,Chicago Bears,Offensive Coordinator
1979,68,NFL,Philadelphia Eagles,Quality Control
1980,69,NFL,Philadelphia Eagles,Quarterbacks
1982,71,NFL,Philadelphia Eagles,Quarterbacks
