Unnamed: 0,Coach Name,Year,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Feature 20,Feature 21,Feature 22,Feature 23,Feature 24,Feature 25,Feature 26,Feature 27,Feature 28,Feature 29,Feature 30,Feature 31,Feature 32,Feature 33,Feature 34,Feature 35,Feature 36,Feature 37,Feature 38,Feature 39,Feature 40,Feature 41,Feature 42,Feature 43,Feature 44,Feature 45,Feature 46,Feature 47,Feature 48,Feature 49,Feature 50,Feature 51,Feature 52,Feature 53,Feature 54,Feature 55,Feature 56,Feature 57,Feature 58,Feature 59,Feature 60,Feature 61,Feature 62,Feature 63,Feature 64,Feature 65,Feature 66,Feature 67,Feature 68,Feature 69,Feature 70,Feature 71,Feature 72,Feature 73,Feature 74,Feature 75,Feature 76,Feature 77,Feature 78,Feature 79,Feature 80,Feature 81,Feature 82,Feature 83,Feature 84,Feature 85,Feature 86,Feature 87,Feature 88,Feature 89,Feature 90,Feature 91,Feature 92,Feature 93,Feature 94,Feature 95,Feature 96,Feature 97,Feature 98,Feature 99,Feature 100,Feature 101,Feature 102,Feature 103,Feature 104,Feature 105,Feature 106,Feature 107,Feature 108,Feature 109,Feature 110,Feature 111,Feature 112,Feature 113,Feature 114,Feature 115,Feature 116,Feature 117,Feature 118,Feature 119,Feature 120,Feature 121,Feature 122,Feature 123,Feature 124,Feature 125,Feature 126,Feature 127,Feature 128,Feature 129,Feature 130,Feature 131,Feature 132,Feature 133,Feature 134,Feature 135,Feature 136,Feature 137,Feature 138,Feature 139,Feature 140,Feature 141,Feature 142,Feature 143,Feature 144,Feature 145,Feature 146,Feature 147,Feature 148,Feature 149,Feature 150,Avg 2Y Win Pct,Coach Tenure Class
0,Aaron Glenn,2025,53,0,0,0,0,5,4,0,0.9021332558184748,0.3639007183458288,0.7997077490095377,-0.23997382264984993,-0.26106357185414286,0.2860055995992577,-0.08673586361546137,0.6125355476357677,-0.00038675008916644554,-0.5804183266000074,0.7627885212259328,-0.5102724955121242,-0.41487073111814116,-0.19187752229252017,0.5340630754929993,-0.022553835405625534,0.5476828849391251,0.015059433084309836,-0.2907707190071294,-0.6083182782455189,-0.44628949627285935,0.8290426694221076,-0.04379991210971304,0.8251351119731737,-0.10109885227694083,0.45056290350150424,0.7111859894974204,-0.28172106187597656,0.7884692669907085,-0.5655405168753803,-0.1835846636607388,-0.13946935577623226,0.23862832606726653,0.6085081013571114,0.9582524349105388,1.3620616889524462,-0.0006335724541628729,0.7709323231255528,-0.11799937742740635,0.16500897797147968,1.1230298966667212,0.20742573412176168,0.15053174836432875,1.3074069693746315,0.7720921583617683,-0.318787464326721,-0.05996121883762051,0.6213573243100686,0.22401032573205332,-0.0713861956390549,-0.13658622613558125,-0.08644986129481651,1.0241189036944576,-0.4172776637016963,0.7213834950730861,0.2562576195346417,0.017900301521658113,0.17879710917702646,1.0510480102890438,0.7937728360282792,-1.9013383981187293,0.10009450029165977,-0.06431547399734053,0.1889748030008096,0.32905271999365115,0.8027001704303734,-0.6224738414970299,0.20213126898243203,0.3768775037788462,0.20811440705194045,-0.16145650694327976,0.11842114332665375,-0.37487780136692017,-0.0023246009924844115,-0.5259925554282402,-0.6186433514739197,0.2642172707478352,-0.3183619429526264,0.48855954243920907,0.4747308215447906,-0.6219700464229175,0.4015263310549378,0.05278147265725896,0.5896818814048332,0.5721525691782966,-0.20505676500902345,0.19234131252752706,0.05944509291736627,0.4177906593985437,-0.05454737759783848,-0.23140649861418988,0.3466645652696126,0.13851996988554172,0.2515758799136133,0.7731024124285624,-0.4972851417370318,0.3517635708967215,-0.13022087297333063,0.46350326976519585,-0.07195158504901986,-0.023414711305400817,-0.09315534806223394,0.2642720253483057,0.31232069241667443,-0.13770113458319855,0.07540845359558872,-0.10820528963324152,-0.5299778633788482,0.5341333352782452,-0.3279022709427453,-0.057669156301429346,0.2535203647345823,0.0910276376773421,0.09252287249121009,0.224434238283122,0.7628208157209633,0.5986275818422679,0.1290888555756056,-0.5607361472970828,0.14863753509728483,0.044365139478658513,0.43548672512006487,-0.12446970766988794,-0.3811517348148089,0.13657988158953416,-0.02223656891960024,-0.4880793530312442,-0.2842030231665852,0.791799999227327,0.46950123452952763,0.01856667772466762,-0.24387037721681257,0.3529411764705882,-1.0602279694967678,-0.012855538505037845,-1.2636646668694915,-1.1872444483144835,-1.102638244616679,-1.6248954374548659,0.09228332159258867,0.7102633174670121,0.0,0.41094681424622204,-1
1,Abe Gibron,1972,47,0,0,0,0,12,0,0,0.43884243236788556,0.417777231129266,0.4241055881272417,-0.2658364152217208,0.4380753874420412,0.29143196547511324,-0.09238723055273916,0.3396829635847633,0.5179942333082678,-0.2580546040805986,0.5398433502574377,0.20956470682376535,0.3288678581090936,0.28408529827136575,0.5450085566327,0.09772283192653262,0.2189663994637582,0.1518407643707729,-0.007801423935754088,0.5350772094698277,0.03606226899924086,0.10202271540637893,-0.1871775986148869,0.18949958906922032,0.09379622728036019,0.31617659246536683,0.34432698173133,-0.07497568955255017,0.45171986590440355,-0.0802622343716413,0.10660831447243815,0.5697764114040254,0.3575319822072482,-0.394737125708312,-0.41064741016075934,-0.41925234268162487,0.08215994081033105,-0.5304263689983028,-0.10944839734598778,0.01275203971204722,-0.16938116001034142,-0.10991349066702555,0.10033387662873698,-0.312735849587957,-0.3931449346918434,-0.2521867761850996,-0.36899978246102194,-0.4619321343444007,-0.4544444953518667,-0.3627658629413658,-0.052799263672448325,0.07146474950332923,-0.024134361723342563,0.3396423585849197,-0.28320629951709153,0.006917392750260209,-0.37385185231601564,-0.385452405159676,-0.26573783063328865,-0.2130584057787296,0.16620974150973605,-0.26777642033670945,-0.0030979181830232284,-0.14670888027752557,-0.22789452006541477,-0.3376947150683985,-0.10416934073333968,-0.1129214918110423,-0.17328213315662522,-0.10439441475110589,0.0464526436984376,-0.15337730832223195,-0.14962099274680518,-0.20395292470854207,-0.05288675002017302,0.011317148769101958,-0.1490640912505789,-0.09004020063563711,0.24166960492781997,0.20986938559832427,-0.0489773187970956,-0.000317702509191291,0.137829960723746,0.050396730913020146,0.282108099714174,0.05025601960673767,0.0211465910747677,-0.07659307393684368,0.006660506191879637,0.014460480406661388,0.007195964902044844,-0.025540875531979215,-0.006361100793184063,-0.04197770306961301,0.06908137658851106,0.15860799493061362,-0.22863007147999093,-0.06474808923572525,0.1264933323679531,-0.028569728603400273,0.016085278271461015,0.05515847232748869,0.07478224662286462,-0.00906146384040129,0.044145872014681634,0.08203147022675715,-0.05756883357837066,-0.02892445488378102,0.08268101054691443,-0.04382066241421966,-0.18631456609443017,-0.12932729916849314,-0.05638145552466554,0.05378333882055345,0.00918942025005153,0.0987523785597948,-0.023211688810627257,0.015355871402444972,0.0809099301201947,0.03674866334368562,-0.0985627383551179,0.16493785981023493,-0.03996496159496633,0.03191323681606806,-0.02833317250030792,-0.15650881503887243,0.03269639826249133,-0.14932660589275895,0.14737357927947056,-0.524435155578918,-0.1628297202709344,-0.21580429329240078,0.42857142857142855,-0.9563680871687901,-0.04636003085346285,-1.4859021273769957,0.7714702500710559,-1.6311511696122831,0.14532439158334365,0.3793530094214601,0.6538239626838975,0.0,0.26785714285714285,1
2,Adam Gase,2016,38,0,0,0,0,5,3,0,1.5326185885817845,1.3488073675977688,1.0768748256532257,-0.3314581363008597,1.3276715430439117,0.9250295746613046,0.574731056589047,1.3165568732842272,1.6522880603465744,-0.40417970969692,1.4348657130972793,1.1858341485983197,0.60429345897093,0.19704366080790567,0.6149907367015959,-0.2589911838588252,0.5977393658019675,0.4571460788366148,0.6373544768808975,0.21553392108590952,0.5096979923430128,1.2705094095310323,-0.5843544654451603,-0.05331715987023663,0.3468761016261221,0.9360943558884915,1.4018323248167617,-0.1980434097495275,1.1662956090698249,-0.8226159463805516,1.0374919455907448,1.0992168046127282,1.0816544073823613,-0.45832183757712147,-0.49441995104689557,-0.3502892537246871,-0.46517955598666727,-0.5846061182784661,-0.16174625049361813,-0.08256435210916985,-0.20424981112019522,-0.4409574427456429,-0.24744863364430858,-0.35762102560070325,-0.15432332744893748,-0.4664340559603448,-0.45684920387981365,-0.016120367928818588,-0.3560241584135343,-0.7996408655557924,-0.08844720080050562,0.13256515808438082,0.45545298464345435,0.07831557275657378,-0.23984382393637604,-0.5366206780367243,-0.38577591308631587,-0.3801413171006419,-0.46017969927678587,-0.27499723263560627,0.1590777108245946,-0.5808245151166029,0.08253783738259071,-0.049779711675442574,-0.11172949472376376,-0.1834482684252296,-0.05509666644605404,0.015425774605287731,0.17890925749260125,-0.7161511936231987,-0.45944013644309567,0.12669630330645307,-0.0642421233742061,0.05144189042417263,0.26570969960052016,-0.8329965886620065,0.05910931336541493,-0.002636645142490626,-0.2867785268032714,-0.15555464580256462,-0.3682758712152762,0.12584067830072862,-0.5477169186558574,0.1500389568057348,0.39741091799442463,-0.6812590980787537,-0.019880752347006102,-0.35570203804706596,-0.36633050496210917,-0.4010257087631583,-0.6570572810884994,-0.0802433184929178,-0.1642875131787869,-0.7134553219996337,-0.49473835030465396,-0.5932057412687629,-0.8961926184655629,-0.7411609603139522,0.2786285302973264,-0.03288680987898208,0.13878705910423203,0.10643588039197627,0.28140071315659093,-0.33747603863407866,-0.4312121237365364,0.07415746938460552,0.057936001671480115,0.11012857727449417,0.8260464072671844,0.043262551849477894,-0.41835316263035305,0.12014527566010202,0.2902488878667845,-0.29167544676902857,0.3274631046704338,0.03449474766018673,-0.0470204046291512,-0.06620992196546198,0.04959838984277244,0.2986760919133614,0.4780329216501628,0.10002030678203876,0.272230363346478,0.014782223411745276,0.27563633462261866,0.3395219368118867,0.021915213786517253,-0.14867715519271585,-0.039105651616289136,0.15174239121869976,0.20039534137752812,-0.06809427967577691,0.4375,-0.2684961917239922,0.3273215319180076,-0.3664101372279048,0.2905913229541593,-0.1526607309333329,-0.031051638151515626,-0.4934357293190191,-0.4499011102702173,0.0,0.5,1
3,Adam Gase,2019,41,1,0,0,0,5,3,3,1.5326185885817845,1.3488073675977688,1.0768748256532257,-0.3314581363008597,1.3276715430439117,0.9250295746613046,0.574731056589047,1.3165568732842272,1.6522880603465744,-0.40417970969692,1.4348657130972793,1.1858341485983197,0.60429345897093,0.19704366080790567,0.6149907367015959,-0.2589911838588252,0.5977393658019675,0.4571460788366148,0.6373544768808975,0.21553392108590952,0.5096979923430128,1.2705094095310323,-0.5843544654451603,-0.05331715987023663,0.3468761016261221,0.9360943558884915,1.4018323248167617,-0.1980434097495275,1.1662956090698249,-0.8226159463805516,1.0374919455907448,1.0992168046127282,1.0816544073823613,-0.3456059136992851,-0.6499080767669299,-0.7446354088241879,-0.44058496203290326,-0.35034357845376723,0.13776941146218177,-0.23323379037624248,-0.6133392139333981,-0.7257491323991909,-0.42898560455667345,-0.6237300353418225,-0.3105482557705941,-0.16818566832206122,-0.3249158164062004,0.38341481901487656,-0.6484312567315353,-0.4185340883727395,-0.6642969462679512,-0.3821512651866282,0.3825956786155707,-0.3416697230673504,-0.34919800881897,-0.17899896951653055,-0.16742580446081826,0.04336201349994253,-0.4349229301943761,-0.37514910546904395,-0.15464180920622211,-0.5266257010286003,0.8622125666421097,0.8634321859635959,-0.31686986654841787,-1.2794383186837648,-0.595231422638422,-0.9617313116561969,-0.2312640258412639,0.5087480497378695,-1.3913483844257672,-0.4571295477837649,-0.7200382148709107,-0.7417812777318291,0.14200853455797513,0.6801127146492508,-0.3124565050737902,-0.8305307813884251,-0.9287053942654144,-0.5039635691102078,-1.11503653560802,0.34742520589573145,-1.0151943726038029,1.1708306789578435,1.378258055075259,-0.841911044450767,0.6041688823133671,-1.0529761917916272,0.5023676454372282,-1.1150406041059986,-1.9591887374941739,-1.0700327823186673,-0.8193880531346859,-1.2713066194254057,-1.4663906227870385,-0.5960725526827977,-1.2037325078860348,-1.1982398920819024,-0.30953253854135593,0.8283213605778288,0.8642062165399107,0.6820428746737569,0.0980109915224126,0.7510801182406693,-0.18619124265179002,-0.3974759215208885,0.13978044634275835,0.8217720036290032,0.5181421302985634,0.6053321250240231,0.07502107234755398,0.926253434009452,1.150454673789305,0.3200985292839555,0.8945334110740006,0.5602260579498596,0.5931669940638793,0.35767056311221057,1.4941898137427794,0.5727189495916546,0.4542595105489868,0.041364596406262916,0.40812492827479613,-0.18425259569570487,0.3283646976074438,0.6364100103068079,-0.4451727345873632,-0.18263338278789285,-0.6152788010927774,-0.803164782645994,0.6276445476818955,0.5697236205261066,0.28125,-0.6560915216699068,1.0490069274570228,-1.0945082002296551,0.8250190443790659,-0.9496333619168674,0.3444429014635261,-0.32918645018276993,0.9100207187703246,0.0,0.28125,0
4,Adam Walsh,1945,44,0,8,0,12,0,0,0,0.4812769665424964,0.4817325956008699,0.445961568281876,-0.1796808335837262,0.43441810359557664,0.21843229953431048,-0.07986975034682209,0.4089256015390126,0.17931954394572827,-0.6813748513393689,0.6281156143463531,0.3722151780369183,0.31607770379289646,0.11564736692270708,0.4753358131606574,-0.10408177429990102,0.2137805486118184,-0.2411842510822033,0.1183182055542972,-0.30305364102418153,-0.18653639089796054,0.6043892711503869,-0.3388741152998612,0.029444798658126447,0.12647252175147689,0.32857980274912213,0.4745987785072489,-0.05078047509776172,0.19257007018814065,-0.5045277499286481,-0.08222738264528512,0.18659135693421275,0.09570151671679333,-0.3901802645814095,-0.501236708804178,-0.508521156122957,0.07899791372889207,-0.2610747736996451,-0.12424017570490853,0.001890099799589399,-0.1751004841430127,-0.6248964429940657,0.03193663338793432,-0.29842044443246984,-0.05691900268853061,-0.2049075263552629,-0.4012257507200132,-0.048239756361921765,-0.5171486682169419,-0.4143720528535976,0.23181993777824514,-0.01295925467293746,0.6364426551229225,0.09527397994049913,-0.5028606524871578,0.06704965799046196,-0.27928468003979423,-0.45104656353975786,-0.5858675558956712,-0.4782162091291642,-0.0070261725444640604,-0.4669074468715036,0.651094535882593,0.06197966778901486,-0.5459701877332398,-0.12120371626918758,-0.06341905792054958,-0.018022213730049686,-0.06779050816335448,-0.0788391124868147,0.09370410376364999,0.017196949190069078,-0.08420837719349974,-0.17966739134865659,0.12012570342083219,-0.13962805776853998,-0.1393924402226807,-0.05291068465231826,0.20566530792607504,0.08437808225414938,-0.2658632902770475,-0.05201206399656777,0.05424852975042769,-0.006992283413467437,-0.0009660569393788628,-0.008554075327030255,-0.032594791104558,-0.14008308243614298,-0.21723740895461457,-0.02450851674985608,-0.12797160709645178,-0.01290505590945478,-0.027287049176151722,0.11097239202375686,-0.1160359920993385,-0.13838254320730092,0.12440583965463049,-0.18914197206688566,-0.12916161140775814,-0.0062440952375502805,-0.06544018277429142,-0.11489321131371175,-0.048903366380318274,-0.15456552743394494,0.08464791170697049,0.3116497742388607,0.045628411091676944,-0.07538744092205307,-0.02128000301223479,-0.14643388878538108,-0.09000448012732061,-0.209620727861691,-0.19513047063780256,0.04288354700719435,-0.09895752700113178,-0.02388474149591458,-0.09496652338752551,-0.07373086156906505,-0.036816094585654005,0.14783450723736166,-0.1681405342823299,-0.0038516710134547803,0.03946358678314891,-0.07775496267864558,-0.16310403798638265,-0.16766977906385924,0.043120881922120186,-0.19362843378679673,-0.2101408610390228,0.397094437588703,0.016571937014713843,0.13599502965922736,0.4,0.11612261564348675,0.671840759246537,-0.16946530739809704,1.1218971653675898,-0.06097107608496929,1.1123033821336379,1.146577287233998,0.8545976121261313,0.0,0.7454545454545455,0
5,Al Cornsweet,1931,25,0,0,0,0,0,0,0,0.4183654568284416,0.5188531762804738,0.4253483305458705,-0.19331641077177666,0.5338584839263996,0.18337359926133182,-0.010607696298883165,0.3190133224715389,0.4230093473768782,-0.2623398491628403,0.4343706937359005,0.3411545050260264,0.3664246093622497,0.3172605306669969,0.33247408884126156,0.2456639185713713,0.22370188795872564,0.02203224506172603,-0.07798380291906938,0.33102233395042,0.028719159644325063,0.33397071199365225,-0.2451426420967251,0.018552914695624124,0.23170871756406383,0.39685522410506313,0.39213055093541543,-0.07083941288311973,0.27275267407560316,0.09653552084057901,0.1840660403499822,0.6084020477924142,0.263187542673375,-0.3577987573115358,-0.4037031750389867,-0.2649984615414365,0.16665354875358765,-0.46563329924703883,0.04253101090251247,-0.03777735145603099,-0.22257302775066082,-0.1023911016309181,0.11181931247692628,-0.16548377636830966,-0.1808353261218373,-0.3206670357874851,-0.34904966541079635,-0.450906618432009,-0.33059651159927234,-0.45920863396886624,-0.12087023515809332,-0.07512584500190192,-0.047793683733649873,0.11179231493143629,-0.364289395516641,0.09314419451169736,-0.42504371048584616,-0.4092920947175563,-0.4074580548282397,-0.3704821297435562,0.05350936935164126,-0.3743577314025229,-0.05423963694285163,-0.26433875022087155,-0.16679936918137475,-0.21912209373211367,0.0584608598823789,-0.07262886284689088,-0.035407213133662525,0.05602782201238422,-0.1273865354477719,-0.18474450266643572,-0.23491817344371518,-0.1577389181584383,-0.11645239438691611,0.0566551526740323,-0.06372824255390663,-0.18767430269246102,0.1569478103366543,0.021186741799236946,0.19875732558427284,-0.0341456457754747,0.053348345222658515,0.06855348488894274,0.05069035507068436,0.12917589379569203,0.06677611510978959,-0.042757327209862174,-0.10117537386035329,0.005708082574628091,-0.06652301998780262,-0.08637315155552784,-0.06118812599282644,-0.08415267625578744,-0.17589691443220604,0.014714789049999384,-0.011698198200106147,0.05571950544908208,-0.09127837121458036,-0.04749041837650335,-0.062923845594704,0.016990091675104704,0.0800417105574626,-0.06343651245663053,0.08054215673985675,-0.028544905981852445,-0.016065438344081733,-0.007566064636738882,-0.0023133823741607693,-0.0075789933277230085,-0.1129852917124994,-0.0006518303199648681,0.029498732499527853,-0.07966418325579602,0.061762653407795395,-0.036979709485425644,0.0539925757644673,0.22622201789564614,0.09253897034892034,0.033778703201062514,-0.1392074018951047,0.13852824915549522,-0.0003072264868023111,0.0663270352481721,-0.035992836586025916,-0.0938649580073172,0.026851841374955835,-0.18354021101045215,0.012126295841549667,-0.006293400717765646,-0.21573986536265696,0.052120590173946046,0.3758477452368044,-0.4307324798986484,0.20644512704736523,-0.09877445629033961,0.12820735624697882,-0.3723179510903234,0.23274120395847972,-0.1828010397556866,0.1958719706780965,0.2526858707715929,0.2,0
6,Al Groh,2000,56,0,10,3,7,7,5,0,0.4952764540666099,0.533964461385827,0.327915369104508,-0.5766929762615449,0.6390156739541427,0.29874880684114274,0.21215691907966996,0.3737712661350057,-0.20687567400304255,-0.4475039860292808,0.38339656394095323,0.6832798364607393,0.03976734864220115,0.10636969810113414,0.6728897527329599,-0.0396616985694551,-0.042673760603923326,-0.1540999077295709,0.15854134512002943,0.12534585684216085,-0.31282012503641465,0.5243956520531188,-0.6127537454304044,0.07726323488328449,0.31123179570331244,0.3221840645259432,0.4198778404369637,-0.753463590197579,-0.2863348074042495,-0.763290459779807,0.1668888029865432,0.6827836513937614,0.06948223859608563,-0.003718780913656072,0.14890147818524366,0.3452783605133257,-0.15006988242736308,-0.4947563557193124,-0.20976240227770535,-0.1335627343044441,0.08645315599443841,0.14474073489763228,-0.06853850872179487,0.1918580843878449,-0.462090398713685,-0.034171814917558316,0.123607416511185,-0.18558589746064816,0.4411462537245178,-0.06093317738513258,0.531750812160886,0.2607284774703813,-0.5311421112496569,0.49107487819375983,-0.2706791102886922,0.20715331875056037,-0.7057821068880547,-0.7029522148504913,-0.25231732338845714,-0.275979444306646,-0.06313956208594586,-0.5381633752426214,0.17386686950033886,-0.14387957701967108,-0.5621137281917612,0.003860622679230032,-0.2006743015635541,-0.06890159837533961,-0.1664210257418361,0.029149293872899048,-0.018543394256578537,-0.19374175913741445,-0.1755909892309723,-0.11977296347370944,-0.36228340749264437,0.07730006405846077,0.008069607345953663,-0.14466988478315312,0.4261297727061921,0.18668925364679645,0.06484164380256108,-0.12382905126419212,0.1610494239999667,0.05690835948720048,0.07669610490417018,0.02071079058903546,0.08346678086860253,-0.0737201470920429,-0.060686638872419346,0.22700662441262315,0.2350574376373369,0.08086596980076736,-0.05492811664155816,0.3008002027354209,-0.05808337753855963,0.24651894328084611,0.1739218637262547,-0.23256099056295695,-0.10334410133117249,-0.07253588449845215,-0.01801784596111126,0.039106080311899924,0.3386473382439621,-0.18480376057258088,0.20299981749593712,0.3421890047398919,0.2019561339140329,0.14875177451092675,0.308905927279119,-0.05642837022997186,-0.0357962839122996,-0.32996603557608006,-0.2458177735944921,-0.33438173226193935,-0.06906962940902275,-0.24684143881643353,-0.39459536531040457,-0.21765766065054862,0.015018872688314014,0.022239848669219884,-0.046441459417494266,-0.011710704563534697,-0.26825087702105194,-0.01599378674492992,-0.05384232574621109,-0.1607344432493531,0.3952316875221989,-0.12156162621416648,-0.2612348840812007,0.4789387731950869,0.1577591819612728,-0.18062659479832538,0.625,0.2766580314445759,-0.9747881297186464,0.2530243080033608,-0.15407914509445425,0.17708898811371512,-0.08458375257479356,0.41072501443621307,-1.0563811891107036,1.0,0.5625,0
7,Al Jolley,1929,30,0,0,0,0,0,0,0,0.4166775716700177,0.549055329103933,0.4604516566195248,-0.2350230484480669,0.49103556217906963,0.17355916890389528,-0.010609878229218626,0.3461889955969539,0.3171679512250275,-0.25151957630412747,0.5135200774707097,0.23873337725795118,0.3902434973862404,0.2508351719250543,0.346073191949981,0.11577934115706312,0.3010713699817168,0.005480870699816032,-0.03736431663325909,0.26990269084396534,0.04592037663859307,0.36383771033627293,-0.31792512607101614,-0.039535297683026584,0.2720851278459975,0.4211898287310301,0.41212278650385303,-0.10291233149680772,0.23850781713108096,0.113803234836364,0.16085659493138463,0.42953381252287925,0.24064681230460705,-0.3275898421135525,-0.4578172680211955,-0.283799895930795,0.18292155509554453,-0.40301140201757407,0.07107138402153577,0.01341813259612973,-0.24538434172772447,-0.1693722427314635,0.20706070076141325,-0.16499601749670495,-0.169731674763648,-0.3265364677987305,-0.35692598628373384,-0.39038008837611765,-0.3262976118347134,-0.39360636620414713,-0.14759603079210357,-0.09140317105531474,0.042915826114345225,0.14760239716403284,-0.4511251167666773,0.1374357170562167,-0.45349882702514205,-0.38379158158275817,-0.48614926318356877,-0.4432301349334953,0.08099334749247995,-0.39238788804403474,-0.23926950917750053,-0.320804146581782,-0.19156923901942352,-0.16987666724047126,0.014770376298840671,0.00936855535375689,0.06483391850697638,-0.003230917635305191,-0.1375550387486069,-0.21049058224980824,-0.19166029567027643,-0.11393819733313311,-0.2382909095825107,0.071601978594962,-0.09343541033649647,-0.18605455962948012,0.01282765877821429,0.0017577533692735813,0.04652613898981773,0.17981025321305508,0.05044009947921225,-0.02060707249652498,0.023400131549222866,-0.018607831953906324,0.005719684513126245,-0.07457038654622686,-0.10934092307832378,-0.0013869761827138987,-0.12945906538762605,-0.06771816674418132,-0.10467950805010252,-0.06180136246510026,-0.16198962691979255,0.08763602929027545,-0.09219493921307526,0.08414023480152709,-0.1514172568724739,-0.03782910482744432,-0.13778409357045845,-0.057219913103484024,0.014111392067216885,-0.1168101068851402,-0.01038520435526822,-0.013998703980459368,0.0798146426264772,-0.07315943672178525,0.0832302178935599,-0.0011061387636060497,-0.03355978091964267,-0.07437983499334196,-0.07192647550006871,0.0018897025468123602,-0.029592192570012377,-0.16654587068874113,0.12761261302377933,0.2625498908705444,0.12014960506545513,0.08526621821187903,-0.1385787969149277,0.19169904395761392,-0.0893670648801911,0.015276231781134287,-0.008593751765966405,-0.05681352403449842,0.051931596102867766,-0.1161241660520889,0.16310684202315698,0.12900301001737943,-0.23707256650278932,0.10942866569676038,0.0,-1.6393704953486987,0.2948195162259523,-0.15314921435019996,-0.008416462123464759,-0.1963508171237008,0.25011716928907146,-0.2090691197037989,0.2590699873070301,-0.05398713736077221,0.16666666666666666,0
8,Al Jolley,1933,34,1,0,0,0,0,0,1,0.4097349502469354,0.5785737696423483,0.29004822733220154,-0.16827308581955122,0.7629837032813426,0.4274657514963282,0.20817430016869629,0.3457006812230207,0.1857224612299088,0.0800279568169054,0.376756088197366,0.20708360609555038,0.36150245464252384,0.21238404996602878,0.41249020334775993,0.05380287084145107,0.5131241793181616,-0.048448449848786164,-0.09797725591434939,0.8150258451055619,-0.37041712339325444,0.4507563235278421,-0.2552879109655902,0.24060839556255437,0.7804732147296581,0.4955520977346158,0.4351941078495199,0.08335295395350938,0.4758278074251392,0.19288285631790564,0.007661351186173491,0.5590464760474332,0.622217797476716,-0.4195202346753731,-0.26724996452198213,-0.21346580000476675,0.09580822325291867,-0.5186615704921232,-0.07676141009169996,0.18768619253949248,-0.06287049676880137,-0.14618973827852372,0.42236488328412514,-0.14915935488303583,-0.11925733163706422,-0.20841860613208849,-0.23457230054639075,-0.6662111358163575,-0.29317858169189975,-0.6130599404455711,-0.25575426090343323,-0.10183561854643502,-0.08411937142107682,0.07558978899200043,-0.22028471396291566,0.26570200030481794,-0.3355978186562958,-0.31894056508475715,-0.0897201687868118,-0.21003979259387648,-0.17007012600557994,-0.45052270353019375,-0.2993164570980053,-0.16122659363034444,-0.091389390877976,-0.528288455969914,-0.8074250226830282,-0.07763363453933692,-0.12410036365316827,0.25356407145075643,-0.27975762626131023,-0.4516399501258612,0.12091416564868543,-0.04543129778370041,-0.3883809245876808,0.6668459725407703,-0.18189981146924164,-0.02858204808539754,0.24164268884497123,-0.12223151925551391,-1.3090545159281637,-0.21386099399783684,-0.38272369469868084,0.140322648349627,0.3012902913274983,0.021387227355116136,-0.028584265327728484,-0.010555477444472843,-0.0732486511843845,0.21660068683305436,-0.01115886617941748,0.09021218320047414,-0.2750939224963727,0.13700786770726733,-0.074141259020461,-0.0861393657097267,0.08708239496583055,-0.09946269240416626,-0.38577436522823416,0.5580329081709209,0.048611104954738076,0.22387852288332602,0.13197249992843615,0.10863992671725944,0.2613950245363991,-0.1944828703309709,0.03534167981795631,0.40282874671284025,-0.04356985197212015,0.24814664078189658,0.07700051873005363,0.008512752808139564,0.1783955699093983,0.7142867743525776,0.1916868204954895,0.009454873379589489,0.2254335234608071,0.5514657530945292,0.3741073741637564,-0.06793219545108417,-0.11969249651341543,0.19581095441083846,-0.14193430078469343,-0.049212133733729714,-0.06239178122868876,0.01198154003369964,0.0072346413504285854,0.12595437776608945,0.4294227493613807,-0.23636568788275364,-0.31576808866527367,0.2443840583250041,0.2406215307888569,-0.9234648489676252,0.18683613328814436,0.516242122410737,0.2498715530552814,-0.7599527320622905,0.40741427827493604,-0.1699117989839049,0.023190779777252674,-0.06000880540815212,0.0,0
