,Coach Name,Year,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Feature 20,Feature 21,Feature 22,Feature 23,Feature 24,Feature 25,Feature 26,Feature 27,Feature 28,Feature 29,Feature 30,Feature 31,Feature 32,Feature 33,Feature 34,Feature 35,Feature 36,Feature 37,Feature 38,Feature 39,Feature 40,Feature 41,Feature 42,Feature 43,Feature 44,Feature 45,Feature 46,Feature 47,Feature 48,Feature 49,Feature 50,Feature 51,Feature 52,Feature 53,Feature 54,Feature 55,Feature 56,Feature 57,Feature 58,Feature 59,Feature 60,Feature 61,Feature 62,Feature 63,Feature 64,Feature 65,Feature 66,Feature 67,Feature 68,Feature 69,Feature 70,Feature 71,Feature 72,Feature 73,Feature 74,Feature 75,Feature 76,Feature 77,Feature 78,Feature 79,Feature 80,Feature 81,Feature 82,Feature 83,Feature 84,Feature 85,Feature 86,Feature 87,Feature 88,Feature 89,Feature 90,Feature 91,Feature 92,Feature 93,Feature 94,Feature 95,Feature 96,Feature 97,Feature 98,Feature 99,Feature 100,Feature 101,Feature 102,Feature 103,Feature 104,Feature 105,Feature 106,Feature 107,Feature 108,Feature 109,Feature 110,Feature 111,Feature 112,Feature 113,Feature 114,Feature 115,Feature 116,Feature 117,Feature 118,Feature 119,Feature 120,Feature 121,Feature 122,Feature 123,Feature 124,Feature 125,Feature 126,Feature 127,Feature 128,Feature 129,Feature 130,Feature 131,Feature 132,Feature 133,Feature 134,Feature 135,Feature 136,Feature 137,Feature 138,Feature 139,Feature 140,Feature 141,Feature 142,Feature 143,Feature 144,Feature 145,Feature 146,Feature 147,Feature 148,Feature 149,Feature 150,Avg 2Y Win Pct,Coach Tenure Class
0,Abe Gibron,1972,47,0,0,0,0,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42857142857142855,-0.95636808716879,-0.046360030853462846,-1.4859021273769955,0.7714702500710559,-1.6311511696122831,0.14532439158334365,0.3793530094214601,0.6538239626838974,0.0,0.26785714285714285,1
1,Adam Gase,2016,38,0,0,0,0,5,3,0,1.5326185885817845,1.348807367597769,1.0768748256532257,-0.33145813630085974,1.3276715430439117,0.9250295746613046,0.574731056589047,1.3165568732842272,1.6522880603465744,-0.40417970969691996,1.4348657130972793,1.1858341485983195,0.60429345897093,0.19704366080790567,0.6149907367015959,-0.2589911838588252,0.5977393658019675,0.4571460788366148,0.6373544768808975,0.21553392108590952,0.5096979923430128,1.2705094095310323,-0.5843544654451602,-0.05331715987023663,0.34687610162612215,0.9360943558884917,1.4018323248167617,-0.19804340974952753,1.1662956090698249,-0.8226159463805516,1.0374919455907448,1.0992168046127282,1.0816544073823613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4375,-0.2684961917239923,0.3273215319180076,-0.3664101372279049,0.29059132295415935,-0.15266073093333285,-0.031051638151515654,-0.49343572931901913,-0.44990111027021734,0.0,0.5,1
2,Adam Gase,2019,41,1,0,0,0,5,3,3,1.5326185885817845,1.348807367597769,1.0768748256532257,-0.33145813630085974,1.3276715430439117,0.9250295746613046,0.574731056589047,1.3165568732842272,1.6522880603465744,-0.40417970969691996,1.4348657130972793,1.1858341485983195,0.60429345897093,0.19704366080790567,0.6149907367015959,-0.2589911838588252,0.5977393658019675,0.4571460788366148,0.6373544768808975,0.21553392108590952,0.5096979923430128,1.2705094095310323,-0.5843544654451602,-0.05331715987023663,0.34687610162612215,0.9360943558884917,1.4018323248167617,-0.19804340974952753,1.1662956090698249,-0.8226159463805516,1.0374919455907448,1.0992168046127282,1.0816544073823613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.595231422638422,-0.9617313116561969,-0.2312640258412639,0.5087480497378695,-1.3913483844257672,-0.4571295477837649,-0.7200382148709107,-0.7417812777318288,0.14200853455797513,0.6801127146492508,-0.3124565050737902,-0.830530781388425,-0.9287053942654144,-0.5039635691102077,-1.11503653560802,0.34742520589573145,-1.0151943726038029,1.1708306789578435,1.378258055075259,-0.841911044450767,0.604168882313367,-1.052976191791627,0.5023676454372282,-1.1150406041059986,-1.959188737494174,-1.0700327823186673,-0.8193880531346859,-1.2713066194254055,-1.4832564531613317,-0.5960725526827977,-1.2016767547617189,-1.1982398920819024,-0.3162498006012378,0.8283213605778288,0.8642062165399107,0.6820428746737569,0.09801099152241259,0.7510801182406693,-0.18619124265178996,-0.39747592152088845,0.1397804463427583,0.8217720036290032,0.5181421302985635,0.6053321250240232,0.07502107234755401,0.926253434009452,1.150454673789305,0.3200985292839555,0.8945334110740006,0.5602260579498596,0.5931669940638794,0.35767056311221057,1.4941898137427791,0.5727189495916546,0.4542595105489868,0.04136459640626292,0.40812492827479613,-0.18425259569570485,0.3283646976074438,0.6364100103068079,-0.44517273458736323,-0.21751292908231812,-0.6152788010927774,-0.7955913245080705,0.6276445476818955,0.5640355376806064,0.28125,-0.6560915216699068,1.0490069274570228,-1.094508200229655,0.8250190443790659,-0.9496333619168674,0.3444429014635261,-0.3291864501827698,0.9100207187703246,0.0,0.28125,0
3,Adam Walsh,1945,44,0,8,0,12,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.1161226156434867,0.671840759246537,-0.169465307398097,1.1218971653675898,-0.0609710760849692,1.112303382133638,1.146577287233998,0.8545976121261313,0.0,0.7454545454545455,0
4,Al Cornsweet,1931,25,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0
5,Al Groh,2000,56,0,10,3,7,7,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.003718780913656028,0.1489014781852436,0.3452783605133257,-0.15006988242736308,-0.4947563557193124,-0.20976240227770537,-0.1335627343044441,0.08645315599443837,0.14474073489763228,-0.06853850872179487,0.19185808438784493,-0.46209039871368507,-0.03417181491755831,0.12360741651118501,-0.18558589746064813,0.4411462537245178,-0.06093317738513262,0.531750812160886,0.2607284774703812,-0.5311421112496568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.625,0.2766580314445759,-0.9747881297186463,0.2530243080033608,-0.15407914509445425,0.17708898811371507,-0.08458375257479356,0.410725014436213,-1.0563811891107036,1.0,0.5625,0
6,Al Jolley,1929,30,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.6393704953486987,0.2948195162259523,,,,,,,,0.16666666666666666,0
7,Al Jolley,1933,34,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8074250226830282,,,,,,,,-0.3883809245876808,,,,,,-1.3090545159281637,,,,,,,,,,,,,,,,,,,0.5580329081709209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0
8,Al Nesser,1926,34,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4375,-0.3891570472142746,-0.08368397040185682,,,,,,,,0.25,0
9,Al Saunders,1986,39,0,4,7,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46875,1.3891564648382841,1.3040881509610747,2.0760408940610553,1.596987632351873,1.755272494552265,1.8118265468278874,0.2989932905702951,1.057143698592359,0.0,0.45416666666666666,1
10,Aldo Donelli,1941,34,0,6,0,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20454545454545453,-1.315627444721041,0.6483542537828693,-1.1654788869859911,0.6153389945812819,-1.260790767337764,0.5742787439598482,-1.4178626533665273,1.3189433283261138,0.0,0.0,0
11,Aldo Donelli,1944,37,1,6,0,4,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8933462299602086,-1.1451389593643462,-0.9712010301930468,1.7938442226046465,-1.7064291626974843,-1.8108104539651744,-1.2589819494476866,-1.7376128257607346,-1.0378654285716122,1.4064216928154862,-1.308098094588818,-1.84080260127681,-0.5555621472314406,-0.1862765232958213,-0.333978203994826,0.1583829715782951,-1.2040366032691177,-0.2628963119603101,-0.547324727181836,-0.4484610556511612,,,,,,,,,,,,,,1.819527461704606,0.3010791677885316,0.6162495185552547,-0.9526832000714106,-0.7385703565051124,-1.52619014545314,-1.3046561461068844,-1.31739781030869,0.0,-0.5319951765989315,0.220326324619617,-1.5996083071466052,0.5378277980011738,1.3682067475555832,1.0817637292669071,1.397150500230809,0.2078377835631863,0.9057814462600388,1.0374934887479383,0.1954127874984127,,,,,,,,,,,,,,0.45454545454545453,-0.255679705671421,0.5597751917281949,-0.4995907684422234,1.4842509112211624,0.0452215631646125,0.846403495879648,-0.0589051154834448,0.1448413648755802,0.0,0.4,0
12,Alex Webster,1969,38,0,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.40508909649629965,0.6663806629489615,0.6323470749796362,0.22040561977360468,0.7951827286984418,0.7644034174525888,-0.07032400899607572,-0.8849936858177676,0.0,0.5357142857142857,2
13,Alfred McGall,1930,49,0,0,0,10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4166666666666667,-0.9714332304155184,-0.5952351020489823,,,,,,,,0.0,0
14,Algy Clark,1934,30,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,-1.2391714107384697,-0.0122372348852812,-1.8065870452602848,0.2592291431839506,-1.7923800222323465,0.0163758483676828,-0.439747413860776,-1.2813990720456698,,0.0,0
15,Allie Sherman,1961,38,0,0,0,0,4,2,0,0.17378455727770084,0.2989245375109082,0.7085462404375225,0.4758196226734246,-0.5128732846836251,-0.18260994550426074,-0.4289292666057062,0.5052127029185243,0.18313976955815559,-0.5818287739576655,1.4095884131947292,-0.04129838077876394,0.5058681644808832,-0.5050189012147067,-0.7164192780353308,-1.0116878710491657,-0.5673388599885595,-0.6833685676051056,-0.9079536255883041,-0.9581393249996382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7083333333333334,0.17378455727770084,-1.0501463276643763,0.2989245375109082,-1.8195412591425997,0.7085462404375225,-1.5203291531727348,0.029822065707242107,0.4758196226734246,1.0,0.8035714285714286,2
