,Coach Name,Year,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Feature 20,Feature 21,Feature 22,Feature 23,Feature 24,Feature 25,Avg 2Y Win Pct,Coach Tenure Class
448,Luke Johnsos,1942,37,0,0,0,0,0,0,0,0,,,,,,,,,,0.8181818181818181,0.9444444444444444,0.9444444444444444,0.9444444444444444,1.0,1.0,1.5,0.925,1
449,Mac Speedie,1964,44,0,0,0,0,4,0,0,0,,,,,,,,,,0.3392857142857143,0.07142857142857145,0.2142857142857143,0.35714285714285715,0.33333333333333337,0.0,0.0,0.26785714285714285,1
450,Mal Stevens,1946,46,0,1,0,13,0,0,0,0,,,,,,,,,,,,,,,,,0.25,0
451,Marc Trestman,2013,57,0,2,2,0,8,8,0,0,0.5436951551106167,0.5285105878960161,0.5279127013554155,,,,,,,0.5625,0.8225806451612904,0.6774193548387097,0.3548387096774194,0.33333333333333337,0.0,0.0,0.40625,0
452,Marion Campbell,1975,46,0,0,0,0,7,6,0,0,,,,0.6311111111111111,0.5644444444444444,0.6333333333333334,,,,0.4285714285714286,0.33999999999999997,0.36,0.38,0.33333333333333337,0.0,0.0,0.24285714285714285,0
453,Marion Campbell,1983,54,1,0,0,0,7,12,2,1,,,,0.6704938271604939,0.6711111111111112,0.6469135802469136,0.13851851851851854,0.27555555555555555,0.3251851851851852,0.47916666666666663,0.7777777777777778,0.7777777777777778,0.6296296296296297,0.375,0.5,0.0,0.359375,1
454,Marion Campbell,1987,58,2,0,0,0,7,13,5,1,,,,0.6787464387464388,0.6821652421652422,0.6370370370370371,0.2257777777777778,0.2731851851851852,0.29303703703703704,0.359375,0.6481481481481481,0.24074074074074076,0.40740740740740744,0.16666666666666669,0.0,0.0,0.25625,1
455,Marty Brill,1931,25,0,0,0,0,0,0,0,0,,,,,,,,,,0.475,1.0,0.5181818181818182,1.0,0.5227272727272727,,,0.5,0
456,Marty Feldman,1961,39,0,4,0,1,1,0,0,0,,,,,,,,,,0.42857142857142855,0.2857142857142857,0.1428571428571429,0.2857142857142857,0.33333333333333337,0.0,0.0,0.08333333333333333,0
457,Marty Mornhinweg,2001,39,0,5,3,0,2,4,0,0,0.8051724137931034,0.7316091954022989,0.7370689655172413,,,,,,,0.53125,0.8166666666666667,0.45,0.26666666666666666,0.375,0.5,0.0,0.15625,0
458,Marty Schottenheimer,1985,42,0,0,0,0,4,6,0,0,,,,0.5123456790123457,0.462962962962963,0.43209876543209874,,,,0.4375,0.35185185185185186,0.4444444444444445,0.7222222222222223,0.5,0.0,0.0,0.625,1
459,Marty Schottenheimer,1989,46,1,0,0,0,4,6,4,0,,,,0.5123456790123457,0.462962962962963,0.43209876543209874,0.6574074074074074,0.7037037037037037,0.5185185185185185,0.2739583333333333,0.2592592592592593,0.16666666666666669,0.20370370370370372,0.0,0.0,0.0,0.609375,3
460,Marty Schottenheimer,2001,58,2,0,0,0,4,6,14,0,,,,0.5123456790123457,0.462962962962963,0.43209876543209874,0.6565407772304324,0.7174785623061484,0.7241379310344828,0.5625,0.7,0.6333333333333333,0.75,0.75,0.5,0.5,0.5,0
461,Marty Schottenheimer,2002,59,3,0,0,0,4,6,15,0,,,,0.5123456790123457,0.462962962962963,0.43209876543209874,0.6305491698595147,0.6940911025968497,0.7203065134099617,0.1875,0.3,0.35,0.5333333333333333,0.0,0.0,0.0,0.375,2
462,Marv Levy,1978,53,0,0,0,11,4,0,0,0,,,,,,,,,,0.25,0.6851851851851852,0.1481481481481482,0.16666666666666669,0.125,0.0,0.0,0.34375,2
463,Marv Levy,1986,61,1,0,0,11,4,0,5,1,,,,,,,0.2666666666666667,0.4,0.7481481481481481,0.125,0.14814814814814814,0.018518518518518545,0.1111111111111111,0.0,0.0,0.0,0.3761904761904762,3
464,Marvin Lewis,2003,45,0,11,0,0,4,7,0,0,,,,0.6027490862863499,0.5790984691985804,0.4644737539064569,,,,0.25,0.1489247311827957,0.09999999999999998,0.47580645161290325,0.0,0.0,0.0,0.5,3
465,Matt LaFleur,2019,40,0,2,1,0,8,2,0,0,0.467741935483871,0.5806451612903225,0.7096774193548387,,,,,,,0.421875,0.4032258064516129,0.3548387096774193,0.3709677419354838,0.33333333333333337,0.0,0.0,0.8125,-1
466,Matt Nagy,2018,40,0,0,0,0,6,1,0,0,0.8709677419354839,0.8387096774193549,1.0,,,,,,,0.25,0.29032258064516125,0.25806451612903225,0.41935483870967744,0.0,0.0,0.0,0.625,-1
467,Matt Patricia,2018,44,0,2,0,0,6,6,0,0,,,,0.44086021505376344,0.8010752688172044,0.564516129032258,,,,0.5625,0.6290322580645161,0.4838709677419355,0.3387096774193548,0.6666666666666667,0.5,0.0,0.296875,1
468,Max Hicks,1921,29,0,0,0,0,0,0,0,0,,,,,,,,,,0.2857142857142857,1.0,0.07692307692307687,1.0,0.23076923076923073,,,0.3,0
469,Mel Doherty,1921,25,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0.25,0
470,Mel Hein,1947,38,0,0,0,2,0,0,0,0,,,,,,,,,,0.5714285714285714,0.4285714285714286,0.5714285714285714,0.5714285714285714,0.33333333333333337,,,0.6666666666666666,0
