Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
1920,30,RII,APFA,9,6,2,2,.750,-5.0,-5.6,0.5,,,,,4,
1921,31,MIN,APFA,4,1,3,0,.250,1.6,-0.4,2.0,,,,,13,
1925,35,RII,NFL,11,5,3,3,.625,1.8,-1.2,3.0,,,,,8,
