,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
0,1973,39,BAL,NFL,14,4,10,0,.286,-8.4,-2.4,-5.9,,,,,5,
1,1974,40,BAL,NFL,3,0,3,0,.000,-8.7,-4.6,-4.1,,,,,5,
