,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,1995,DEN,OC,30,14,30,8,3,3,9,14,16,5,13,2,22,7,7,8,8,7,15,17,29,19,23,30,24,15,8,9,12,30,14
1,1996,DEN,OC,30,1,16,4,2,1,4,17,2,1,2,4,25,16,13,5,12,12,4,7,13,1,1,2,18,26,27,10,16,4,4
2,1997,DEN,OC,30,4,4,1,1,1,1,6,6,4,5,2,7,20,9,4,6,4,5,6,9,1,16,6,30,13,16,5,11,8,5
3,1998,DEN,OC,30,2,5,2,3,3,2,3,2,2,1,2,3,21,7,5,8,3,11,8,13,1,3,4,7,15,29,26,28,10,12
4,1999,DEN,OC,31,22,15,20,7,14,18,10,9,12,10,14,8,10,15,26,16,17,7,11,25,20,19,23,19,18,3,8,4,20,12
5,2000,DEN,OC,31,5,2,5,5,2,2,7,4,3,3,6,17,9,3,6,5,4,24,23,2,1,7,16,29,5,27,31,27,2,25
6,2001,DEN,OC,31,14,6,15,14,22,10,9,6,10,30,19,3,20,25,8,18,26,8,21,5,7,6,7,9,6,13,16,20,6,18
7,2002,DEN,OC,32,11,21,8,1,3,7,11,11,5,5,3,4,14,8,18,23,8,6,15,29,3,4,32,9,12,24,17,2,30,8
8,2003,DEN,OC,32,8,22,9,1,7,10,7,2,2,3,4,2,26,22,16,18,16,4,9,28,2,7,10,19,19,9,6,6,32,7
9,2004,DEN,OC,32,7,24,7,1,5,9,18,2,4,15,8,5,16,6,8,25,3,4,9,29,3,4,23,9,28,5,6,4,27,8
10,2005,DEN,OC,32,2,2,3,5,5,7,1,2,2,3,4,5,25,18,20,2,8,15,3,4,1,2,7,15,4,32,29,17,6,11
11,2006,HOU,HC,32,24,21,28,28,28,28,11,21,21,14,20,16,23,27,28,8,27,24,25,28,13,20,25,22,17,11,22,20,28,24
12,2007,HOU,HC,32,14,31,17,21,14,12,31,22,22,16,24,27,19,11,12,28,5,24,22,22,13,19,25,27,10,22,25,22,30,23
13,2008,HOU,HC,32,17,29,21,8,3,17,30,16,13,11,13,20,7,4,13,29,5,22,27,20,17,23,24,24,16,5,17,26,21,25
14,2009,HOU,HC,32,11,19,11,7,4,10,16,20,30,18,31,17,4,1,5,17,3,13,17,16,5,10,24,17,6,23,18,10,20,18
15,2010,HOU,HC,32,20,13,18,13,3,9,4,19,7,1,3,2,10,4,17,7,6,30,29,30,18,13,26,11,31,21,32,31,23,31
16,2011,HOU,HC,32,7,7,6,3,13,10,6,1,2,3,8,22,30,18,18,3,8,2,4,12,4,4,3,11,14,16,3,6,13,2
17,2012,HOU,HC,32,3,7,8,6,7,8,6,4,8,4,16,1,18,11,18,10,13,7,9,9,5,7,1,9,4,24,16,26,14,8
18,2013,HOU,HC,32,32,32,31,6,11,31,26,22,20,28,15,9,6,15,25,28,25,7,24,32,24,23,11,22,31,1,3,21,32,13
19,2014,BAL,OC,32,11,14,6,8,12,8,6,11,8,5,7,9,17,13,12,8,12,8,6,22,5,4,5,3,10,29,23,6,25,12
20,2015,DEN,HC,32,3,19,10,3,16,19,29,17,17,12,13,7,13,14,28,32,21,1,4,8,13,3,10,1,4,18,1,3,13,1
21,2016,DEN,HC,32,11,13,9,14,27,22,21,15,27,20,28,30,17,21,21,12,22,4,4,7,30,28,18,18,4,14,1,1,12,1
22,2020,MIN,OC,32,25,31,28,31,22,18,29,24,8,7,1,9,31,28,13,31,16,30,31,24,30,26,20,12,26,18,30,11,13,30
