Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
2006,45,HOU,NFL,16,6,10,0,.375,-4.5,-3.2,-1.3,,,,,4,7,3,
2007,46,HOU,NFL,16,8,8,0,.500,0.0,2.5,-2.5,,,,,4,9,1,
2008,47,HOU,NFL,16,8,8,0,.500,-0.4,2.8,-3.2,,,,,3,5,1,
2009,48,HOU,NFL,16,9,7,0,.563,2.0,2.7,-0.7,,,,,2,6,3,
2010,49,HOU,NFL,16,6,10,0,.375,-1.8,1.8,-3.7,,,,,3,5,2,
2011,50,HOU,NFL,16,10,6,0,.625,4.5,1.4,3.2,2,1,1,.500,1,7,2,
2012,51,HOU,NFL,16,12,4,0,.750,3.5,1.8,1.7,2,1,1,.500,1,5,2,
2013,52,HOU,NFL,13,2,11,0,.154,-7.6,-5.0,-2.6,,,,,4,5,3,
2015,54,DEN,NFL,16,12,4,0,.750,5.8,0.3,5.5,3,3,0,1.000,1,6,2,Super Bowl Champions
2016,55,DEN,NFL,16,9,7,0,.563,4.0,-2.0,6.1,,,,,3,4,4,
