Year,Age,Level,Employer,Role
1992,31,College,Texas A&M,Running Backs
1993,32,College,Texas A&M,Running Backs
1994,33,NFL,San Francisco 49ers,Quarterbacks
1995,34,NFL,Denver Broncos,Offensive Coordinator/QBs
1996,35,NFL,Denver Broncos,Offensive Coordinator/QBs
1997,36,NFL,Denver Broncos,Offensive Coordinator/QBs
1998,37,NFL,Denver Broncos,Offensive Coordinator/QBs
1999,38,NFL,Denver Broncos,Offensive Coordinator/QBs
2000,39,NFL,Denver Broncos,Offensive Coordinator/QBs
2001,40,NFL,Denver Broncos,Offensive Coordinator/QBs
2002,41,NFL,Denver Broncos,Offensive Coordinator/QBs
2003,42,NFL,Denver Broncos,Offensive Coordinator
2004,43,NFL,Denver Broncos,Offensive Coordinator
2005,44,NFL,Denver Broncos,Offensive Coordinator
2006,45,NFL,Houston Texans,Head Coach
2007,46,NFL,Houston Texans,Head Coach
2008,47,NFL,Houston Texans,Head Coach
2009,48,NFL,Houston Texans,Head Coach
2010,49,NFL,Houston Texans,Head Coach
2011,50,NFL,Houston Texans,Head Coach
2012,51,NFL,Houston Texans,Head Coach
2013,52,NFL,Houston Texans,Head Coach
2014,53,NFL,Baltimore Ravens,Offensive Coordinator
2015,54,NFL,Denver Broncos,Head Coach
2016,55,NFL,Denver Broncos,Head Coach
2019,58,NFL,Minnesota Vikings,Assistant HC
2020,59,NFL,Minnesota Vikings,Offensive Coordinator/Asst. HC
