Year,Age,Level,Employer,Role
1930,22,High School,Severn School (MD),Head Coach
1931,23,High School,Severn School (MD),Head Coach
1932,24,High School,Massillon Washington HS (OH),Head Coach
1933,25,High School,Massillon Washington HS (OH),Head Coach
1934,26,High School,Massillon Washington HS (OH),Head Coach
1935,27,High School,Massillon Washington HS (OH),Head Coach
1936,28,High School,Massillon Washington HS (OH),Head Coach
1937,29,High School,Massillon Washington HS (OH),Head Coach
1938,30,High School,Massillon Washington HS (OH),Head Coach
1939,31,High School,Massillon Washington HS (OH),Head Coach
1940,32,High School,Massillon Washington HS (OH),Head Coach
1941,33,College,Ohio State,Head Coach
1942,34,College,Ohio State,Head Coach
1943,35,College,Ohio State,Head Coach
1944,36,U.S. Navy,Naval Station Great Lakes,Head Coach
1945,37,U.S. Navy,Naval Station Great Lakes,Head Coach
1946,38,AAFC,Cleveland Browns,Head Coach
1947,39,AAFC,Cleveland Browns,Head Coach
1948,40,AAFC,Cleveland Browns,Head Coach
1949,41,AAFC,Cleveland Browns,Head Coach
1950,42,NFL,Cleveland Browns,Head Coach
1951,43,NFL,Cleveland Browns,Head Coach
1952,44,NFL,Cleveland Browns,Head Coach
1953,45,NFL,Cleveland Browns,Head Coach
1954,46,NFL,Cleveland Browns,Head Coach
1955,47,NFL,Cleveland Browns,Head Coach
1956,48,NFL,Cleveland Browns,Head Coach
1957,49,NFL,Cleveland Browns,Head Coach
1958,50,NFL,Cleveland Browns,Head Coach
1959,51,NFL,Cleveland Browns,Head Coach
1960,52,NFL,Cleveland Browns,Head Coach
1961,53,NFL,Cleveland Browns,Head Coach
1962,54,NFL,Cleveland Browns,Head Coach
1968,60,AFL,Cincinnati Bengals,Head Coach
1969,61,AFL,Cincinnati Bengals,Head Coach
1970,62,NFL,Cincinnati Bengals,Head Coach
1971,63,NFL,Cincinnati Bengals,Head Coach
1972,64,NFL,Cincinnati Bengals,Head Coach
1973,65,NFL,Cincinnati Bengals,Head Coach
1974,66,NFL,Cincinnati Bengals,Head Coach
1975,67,NFL,Cincinnati Bengals,Head Coach
