,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
0,1946,38,CLE,AAFC,14,12,2,0,.857,17.9,9.3,8.6,1,1,0,1.000,1,AAFC Champions
1,1947,39,CLE,AAFC,14,12,1,1,.923,14.1,7.1,7.0,1,1,0,1.000,1,AAFC Champions
2,1948,40,CLE,AAFC,14,14,0,0,1.000,12.4,3.7,8.7,1,1,0,1.000,1,AAFC Champions
3,1949,41,CLE,AAFC,12,9,1,2,.900,11.8,5.8,6.0,2,2,0,1.000,1,AAFC Champions
4,1950,42,CLE,NFL,12,10,2,0,.833,15.6,5.8,9.7,2,2,0,1.000,1,NFL Champions
5,1951,43,CLE,NFL,12,11,1,0,.917,14.6,6.9,7.8,1,0,1,.000,1,
6,1952,44,CLE,NFL,12,8,4,0,.667,8.7,4.8,3.9,1,0,1,.000,1,
7,1953,45,CLE,NFL,12,11,1,0,.917,14.0,7.0,7.0,1,0,1,.000,1,
8,1954,46,CLE,NFL,12,9,3,0,.750,10.4,3.6,6.8,1,1,0,1.000,1,NFL Champions
9,1955,47,CLE,NFL,12,9,2,1,.818,12.0,9.4,2.6,1,1,0,1.000,1,NFL Champions
10,1956,48,CLE,NFL,12,5,7,0,.417,-2.4,-6.8,4.5,,,,,4,
11,1957,49,CLE,NFL,12,9,2,1,.818,6.8,2.4,4.5,1,0,1,.000,1,
12,1958,50,CLE,NFL,12,9,3,0,.750,5.1,2.1,3.1,1,0,1,.000,1,
13,1959,51,CLE,NFL,12,7,5,0,.583,3.0,-0.2,3.3,,,,,2,
14,1960,52,CLE,NFL,12,8,3,1,.727,11.0,8.2,2.9,,,,,2,
15,1961,53,CLE,NFL,14,8,5,1,.615,1.6,0.4,1.2,,,,,3,
16,1962,54,CLE,NFL,14,7,6,1,.538,-1.5,-5.0,3.5,,,,,3,
17,1968,60,CIN,AFL,14,3,11,0,.214,-6.3,-6.5,0.1,,,,,5,
18,1969,61,CIN,AFL,14,4,9,1,.308,-4.2,0.0,-4.2,,,,,5,
19,1970,62,CIN,NFL,14,8,6,0,.571,0.5,1.2,-0.6,1,0,1,.000,1,
20,1971,63,CIN,NFL,14,4,10,0,.286,-0.5,-0.4,-0.1,,,,,4,
21,1972,64,CIN,NFL,14,8,6,0,.571,4.1,1.2,3.0,,,,,3,
22,1973,65,CIN,NFL,14,10,4,0,.714,3.0,0.1,2.9,1,0,1,.000,1,
23,1974,66,CIN,NFL,14,7,7,0,.500,2.2,1.9,0.2,,,,,3,
24,1975,67,CIN,NFL,14,11,3,0,.786,6.9,4.0,2.9,1,0,1,.000,2,
