Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
1982,TAM,DC,28,10,19,19,4,13,18,14,18,19,17,21,26,8,6,19,9,11,3,16,17,17,18,17,9,11,6,4,8,20,3
1983,TAM,DC,28,27,10,27,26,28,27,10,24,27,25,28,6,9,15,19,18,23,16,22,12,23,15,21,8,10,10,19,1,12,19
1984,TAM,DC,28,21,24,20,18,10,14,25,18,19,10,21,25,8,8,10,19,12,20,21,20,17,25,27,24,15,7,13,12,18,20
1985,DET,DC,28,16,19,21,25,28,19,19,18,26,20,28,20,23,22,18,11,16,18,19,16,26,27,19,28,10,5,5,3,19,11
1986,DET,DC,28,21,11,20,23,24,22,15,16,15,16,19,18,18,19,17,12,20,15,13,8,23,26,19,26,2,5,4,2,10,7
1987,DET,DC,28,24,18,26,26,26,25,18,25,25,23,24,3,9,17,23,27,20,24,26,18,23,23,24,20,19,9,19,15,14,25
1988,DET,HC,28,26,10,26,28,28,28,10,26,27,28,28,15,20,28,23,10,28,18,10,10,19,17,16,13,1,17,15,7,23,13
,DET,DC,28,26,10,26,28,28,28,10,26,27,28,28,15,20,28,23,10,28,18,10,10,19,17,16,13,1,17,15,7,23,13
1989,DET,HC,28,19,24,20,20,18,19,28,20,8,1,1,28,24,26,27,21,17,18,19,21,12,8,22,3,9,26,27,11,21,19
1990,DET,HC,28,17,12,18,23,14,5,19,24,11,4,1,19,16,14,7,17,11,28,26,5,27,27,27,25,5,20,20,15,14,16
1991,DET,HC,28,3,7,8,18,17,9,11,11,10,2,5,7,24,22,14,15,16,15,11,9,14,17,20,16,10,22,19,7,7,11
1992,DET,HC,28,21,19,16,20,19,19,18,26,16,19,8,16,27,19,16,18,13,20,20,16,18,17,18,14,23,18,21,16,8,22
1993,DET,HC,28,6,11,13,16,24,16,17,11,7,19,7,12,26,24,23,18,16,6,15,7,12,10,17,13,7,15,9,16,9,7
1994,DET,HC,28,9,15,11,18,15,6,5,24,3,11,1,6,25,24,7,5,14,24,19,23,24,22,21,15,19,17,19,14,22,19
1995,DET,HC,30,6,3,4,7,1,2,6,25,14,8,3,13,5,2,2,5,4,23,14,7,9,18,20,28,15,21,23,7,3,20
1996,DET,HC,30,26,24,22,20,20,21,9,28,12,7,2,1,14,18,16,23,23,20,22,30,26,25,14,20,29,6,18,27,27,23
