Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
1923,25,CRD,NFL,12,8,4,0,.667,1.7,1.0,0.6,,,,,6,
1924,26,CRD,NFL,10,5,4,1,.556,-4.1,-4.1,0.0,,,,,8,
